Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
GASLOG GREECE,9687019,310732000,Bermuda,291,46,112764,87975,ATLANTIC BASIN,ATLANTIC BASIN,2021-04-01-09:00,9.5,32.87836 S/16.82863 E,331.1°,16.1 kn,-,2021-03-28,2021-03-25-19:41
GASLOG GLASGOW,9687021,310744000,Bermuda,291,46,112764,87889,PACIFIC OCEAN,PACIFIC OCEAN,2021-04-01-13:00,9.7,37.30961 N/138.20759 E,327.2°,12.9 kn,-,2021-03-28,2021-03-08-01:40
LNG JAMAL,9200316,432278000,Japan,290,46,112090,72692,DRIFTING,DRIFTING,2021-04-09-07:00,9.4,14.71638 N/69.94432 E,134.8°,1.3 kn,-,2021-03-28,2021-03-21-20:29
GOLAR MAZO,9165011,636011170,Liberia,290,47,111835,76210,-,-,-,9.0,5.14819 N/115.36451 E,231.0°,0.1 kn,-,2021-03-28,2020-04-17-09:46
CASTILLO DE SANTISTEBAN,9433717,215739000,Malta,300,46,111665,93796,PACIFIC  BASIN,PACIFIC  BASIN,2021-03-25-01:00,9.6,13.27579 N/144.17822 E,247.5°,14.4 kn,-,2021-03-28,2021-03-25-04:34
PACIFIC NOTUS,9247962,311573000,Bahamas,290,46,111553,72490,AU_ASBTN,AU_ASBTN,2021-04-10-00:00,9.6,34.27255 N/139.40577 E,212.0°,11.5 kn,-,2021-03-28,2021-03-26-08:39
PACIFIC EURUS,9264910,308937000,Bahamas,290,46,111539,68541,YUNG AN TW,YUNG AN TW,2021-03-31-00:01,11.1,12.1263 S/130.28695 E,295.0°,17.0 kn,-,2021-03-28,2021-03-20-05:49
ABADI,9210828,508011000,Brunei,290,46,111461,72758,SCS,SCS,2021-03-26-06:00,9.3,1.38907 N/104.44802 E,47.0°,15.2 kn,-,2021-03-28,2021-03-24-06:15
ETYFA PROMETHEAS,9236614,564644000,Cyprus,290,46,111459,72781,FOR ORDERS,FOR ORDERS,2021-08-06-22:00,9.0,31.37452 N/121.69494 E,148.0°,0.0 kn,-,2021-03-28,2021-03-23-01:23
BW TATIANA,9236626,538008991,Marshall Islands,290,46,111459,72781,-,-,-,,1.30362 N/103.65119 E,201.1°,0.1 kn,-,2021-03-28,2020-12-22-03:54
GEMMATA,9253222,563574000,Singapore,290,46,111459,72727,-,-,-,10.1,13.04578 S/38.56159 W,188.1°,11.9 kn,-,2021-03-28,2021-03-27-22:45
SOHAR LNG,9210816,357186000,Panama,298,46,111203,71997,-,-,-,9.6,19.74491 N/57.83238 E,265.7°,0.1 kn,-,2021-03-28,2021-02-25-09:54
DUKHAN,9265500,636012400,Liberia,298,46,111162,72533,AU DAM,Dampier,2021-03-27-21:00,9.1,20.60485 S/116.75519 E,127.9°,0.0 kn,Moored,2021-03-28,2021-03-28-15:29
AL RAYYAN,9086734,431901000,Japan,298,46,111128,72430,QA_RLF,RasLaffan,2021-03-17-09:00,9.0,25.85328 N/51.79381 E,37.8°,0.5 kn,At anchor,2021-03-28,2021-03-28-15:28
RIBERA DEL DUERO KNUTSEN,9477593,259082000,Norway,290,46,111109,96740,USCRP,CorpusChristi,2021-03-27-08:00,9.5,27.76875 N/96.87404 W,116.3°,0.0 kn,At anchor,2021-03-28,2021-03-28-15:27
AL ZUBARAH,9085649,431881000,Japan,298,46,111079,72557,JP KIJ,Niigata,2021-04-03-00:01,11.0,1.41502 N/104.48352 E,45.5°,15.2 kn,-,2021-03-28,2021-03-24-06:23
BARCELONA KNUTSEN,9401295,224436000,Spain,290,46,110920,97730,-,-,-,11.1,11.70605 N/68.41934 W,103.3°,16.8 kn,-,2021-03-28,2021-03-25-18:07
SEVILLA KNUTSEN,9414632,224072000,Spain,290,46,110920,97730,ORDERS,ORDERS,2021-04-12-11:00,9.4,36.91495 N/126.06506 E,213.9°,13.8 kn,-,2021-03-28,2021-03-16-10:35
