Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
BW LESMES,9873840,563121700,Singapore,-,-,115338,92800,"Jakarta Anch., Indonesia",2021-04-29-02:45,WITHNELL BAY,,2021-05-10-22:00,9.3,,231.5°,11.3 kn,-,2021-05-05,2021-04-29-13:15
LNGSHIPS ATHENA,9872949,215762000,Malta,-,-,116542,93534,"Gladstone, Australia",2021-04-22-20:15,Destination not available,,-,11.1,,17.6°,12.5 kn,-,2021-05-05,2021-04-23-00:24
AMAN SENDAI,9134323,533209000,Malaysia,130,26,16336,10957,"Sendai, Japan",2021-04-21-01:10,"Sendai, Japan",,2021-05-08-00:30,6.7,,239.6°,15.8 kn,-,2021-05-05,2021-04-22-07:32
FLEX VOLUNTEER,9862463,538009058,Marshall Islands,297,46,116430,81950,"Salvador Anch., Brazil",2021-05-03-09:08,FOR ORDERS,,2021-05-04-16:06,9.8,,185.9°,13.7 kn,-,2021-05-05,2021-05-04-17:38
BW HELIOS,9873852,563126800,Singapore,-,-,114000,95000,"Okpo Anch., Korea",2021-04-29-22:26,DSME-2497 SEA TRIAL,,2021-05-02-08:30,8.5,,35.5°,14.9 kn,-,2021-05-05,2021-04-26-19:40
LNG ADVENTURE,9870159,228391700,France,-,-,115408,87900,"Lake Charles, United States (USA)",2021-05-03-04:47,"Cameron, United States (USA)",,2021-05-02-23:00,9.2,,236.4°,0.0 kn,Moored,2021-05-05,2021-05-05-08:58
PUTERI DELIMA SATU,9211872,533735000,Malaysia,276,43,94430,75929,"Shimizu, Japan",2021-04-19-02:17,JP SBK,,2021-05-06-20:00,11.6,,183.9°,15.9 kn,-,2021-05-05,2021-04-19-05:04
PAN ASIA,9750220,477096200,Hong Kong,290,47,114996,88613,"Sabine, United States (USA)",2021-04-27-13:43,FOR  ORDERS,,2021-05-19-00:01,11.4,,118.9°,19.2 kn,-,2021-05-05,2021-04-28-18:22
GRAND ELENA,9332054,209407000,Cyprus,288,49,122239,74127,"Prigorodnoye, Russia",2021-05-02-02:22,"Xiuyu, China",,2021-05-07-23:00,11.2,,138.0°,16.0 kn,-,2021-05-05,2021-04-25-03:21
ENSHU MARU,9749609,357121000,Panama,293,49,127088,83708,"Wheatstone LNG Term., Australia",2021-04-22-00:21,"Shimizu, Japan",,2021-05-05-00:15,11.4,,198.5°,0.1 kn,Moored,2021-05-05,2021-05-05-01:23
LNG PIONEER,9256602,311906000,Bahamas,277,43,93786,77712,"Pasir Gudang, Johor Anch., Malaysia",2021-04-06-22:33,Destination not available,,-,11.2,,50.9°,9.6 kn,-,2021-05-05,2021-04-07-10:59
LNG MALEO,8701791,431015000,Japan,272,47,106717,66892,"Dongjiakou, China",2021-04-30-00:36,"Luwuk, Indonesia",,2021-05-06-07:00,9.2,,175.8°,17.7 kn,-,2021-05-05,2021-05-01-12:14
AL DEEBEL,9307176,308031000,Bahamas,283,43,95824,78594,"Taichung, Taiwan",2021-05-04-22:08,"Ras Laffan, Qatar",,2021-05-17-04:00,9.5,,207.3°,19.9 kn,Under way,2021-05-05,2021-05-05-04:48
PUTERI MUTIARA SATU,9261205,533920000,Malaysia,276,43,94446,76229,"Sakaide, Japan",2021-05-05-01:57,BTU MY,,2021-05-12-00:00,9.1,,183.3°,15.0 kn,Under way,2021-05-05,2021-05-05-09:00
GASLOG WALES,9853137,310786000,Bermuda,297,47,120859,98000,"Freeport, United States (USA)",2021-05-01-01:33,FOR ORDERS,,2021-05-25-08:00,11.0,,84.8°,13.4 kn,-,2021-05-05,2021-05-04-03:06
LNGSHIP MANHATTAN,9872901,215755000,Malta,-,-,114000,93200,"Ulsan, Korea",2021-04-07-01:08,HHI-3039 SEA TRIAL,,2021-04-07-09:00,9.3,,0.0°,0.0 kn,Moored,2021-05-05,2021-05-05-09:00
GOLAR ARCTIC,9253105,538002656,Marshall Islands,280,43,94934,74894,"Soyo, Angola",2021-04-18-10:26,FOR ORDERS,,2021-05-17-00:01,11.5,,116.9°,0.6 kn,-,2021-05-05,2021-04-23-16:51
SERI ALAM,9293832,533925000,Malaysia,283,43,95729,83482,"Nagoya Anch., Japan",2021-04-25-05:41,"Bintulu, Sarawak, Malaysia",,2021-05-11-00:00,9.6,,127.1°,14.4 kn,-,2021-05-05,2021-04-25-07:11
ENERGY INNOVATOR,9758832,431048000,Japan,300,49,121981,88668,"Pasir Gudang, Johor Anch., Malaysia",2021-05-03-02:19,"Beihai, China",,2021-05-12-00:01,11.3,,87.1°,15.8 kn,-,2021-05-05,2021-05-03-02:46
DOHA,9085637,431213000,Japan,298,46,111184,72337,"Ras Laffan, Qatar",2021-04-19-13:12,JP KZT,,2021-05-09-00:45,11.0,,44.0°,12.9 kn,-,2021-05-05,2021-05-04-12:43
NIZWA LNG,9294264,371381000,Panama,290,49,118608,77252,"Mab Tapud, Thailand",2021-04-30-01:37,PSQ OMAN,,2021-05-19-04:00,10.1,,309.5°,15.4 kn,-,2021-05-05,2021-05-03-00:50
MARAN GAS ALEXANDRIA,9650054,241353000,Greece,289,46,105773,90494,"Rotterdam Maasvlakte, Netherlands",2021-04-28-08:54,FOR ORDERS,,2021-05-15-06:00,9.8,,244.1°,14.7 kn,-,2021-05-05,2021-04-29-12:59
LNG ROSENROT,9877133,538008979,Marshall Islands,298,48,119891,99000,"Freeport Anch., United States (USA)",2021-04-14-13:14,"Qingdao, China",,2021-05-22-06:00,11.2,,92.4°,17.3 kn,-,2021-05-05,2021-05-03-13:25
LNG AQUARIUS,7390181,525001084,Indonesia,285,44,95084,72622,"Jakarta Terminal Anch., Indonesia",2021-04-19-00:02,ID TPP,,2021-04-07-04:00,10.9,,265.7°,0.0 kn,At anchor,2021-05-05,2021-05-05-08:58
BONITO LNG,9845788,215532000,Malta,299,46,116542,93200,"Pyeongtaek, Korea",2021-04-19-00:18,-,,2021-05-12-02:00,9.4,,135.3°,16.1 kn,-,2021-05-05,2021-04-19-17:51
ARISTIDIS I,9862906,215669000,Malta,299,46,116581,92789,"Freeport, United States (USA)",2021-04-26-18:38,"Salvador, Brazil",,2021-05-08-09:00,11.5,,114.3°,17.6 kn,-,2021-05-05,2021-05-01-16:53
SOLARIS,9634098,310679000,Bermuda,285,43,98075,81853,"Savannah, United States (USA)",2021-04-29-23:28,FOR ORDERS,,2021-05-25-03:00,11.3,,98.8°,15.4 kn,-,2021-05-05,2021-04-30-03:44
FLEX VIGILANT,9862475,538009179,Marshall Islands,-,-,112000,81950,"Daebul/Yeongam-gun, Korea",2021-03-15-00:30,Destination not available,,-,9.0,,216.1°,1.3 kn,-,2021-05-05,2021-03-08-20:11
AL WAKRAH,9086746,431061000,Japan,298,46,111124,72453,"Ras Laffan Anch., Qatar",2021-05-05-08:14,"Ras Laffan, Qatar",,2021-05-05-11:00,9.2,,258.3°,10.3 kn,Under way,2021-05-05,2021-05-05-08:55
KUMUL,9613161,477588600,Hong Kong,290,47,114166,96311,"Singapore, Singapore",2021-04-21-01:45,SEMBAWANG,,2021-04-21-01:00,7.8,,63.6°,0.0 kn,Moored,2021-05-05,2021-05-05-09:00
HL MUSCAT,9155078,441229000,Korea,280,43,93765,75463,"Anjeong, Korea",2021-04-28-03:14,"Tongyeong, Korea",,2021-04-28-01:00,8.9,,351.8°,11.2 kn,-,2021-05-05,2021-04-21-18:08
LNG JUNO,9774628,311000583,Bahamas,298,49,149367,97917,"Darwin, Australia",2021-05-02-02:10,SBK_JP,,2021-05-12-21:00,11.2,,313.9°,12.1 kn,-,2021-05-05,2021-05-02-03:22
METHANE NILE EAGLE,9321770,310551000,Bermuda,283,43,95753,79006,"Zeebrugge, Belgium",2021-04-13-04:47,"Huelva, Spain",,2021-05-04-19:00,9.4,,215.0°,0.2 kn,At anchor,2021-05-05,2021-05-05-08:11
BROOG,9085651,431870000,Japan,298,46,111123,72339,"Ras Laffan, Qatar",2021-04-20-23:36,JP CTA,,2021-05-07-21:00,11.2,,54.4°,15.5 kn,-,2021-05-05,2021-05-04-20:26
BRITISH SPONSOR,9766580,232006295,Isle of Man,295,46,115366,94360,"Ingleside, United States (USA)",2021-04-13-18:30,"Mab Tapud, Thailand",,2021-05-24-06:00,11.4,,90.5°,13.7 kn,-,2021-05-05,2021-05-03-14:51
