Atime,D_EU,D_NA,D_AS,A_EU,A_NA,A_AS,Eur_Spot_12,Eur_Spot_9,Eur_Spot_6,Eur_Spot_3,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,Eur_Spot_-15,Eur_Spot_-18,Eur_Spot_-21,US_Spot_12,US_Spot_9,US_Spot_6,US_Spot_3,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,US_Spot_-15,US_Spot_-18,US_Spot_-21,Eur_Fut_12,Eur_Fut_9,Eur_Fut_6,Eur_Fut_3,Eur_Fut_0,Eur_Fut_-3,Eur_Fut_-6,Eur_Fut_-9,Eur_Fut_-12,Eur_Fut_-15,Eur_Fut_-18,Eur_Fut_-21
2021-03-16,1,8,24,3,8,19,18.1731081081081,18.0181351351351,17.5213243243243,17.3577297297297,17.2233513513513,16.8840810810811,16.4127837837838,16.3949459459459,16.5987837837838,16.555945945946,16.9584324324324,17.6597837837838,2.55108108108108,2.59243243243243,2.59594594594595,2.61945945945946,2.69432432432432,2.92702702702703,3.1872972972973,3.09837837837838,3.96189189189189,5.84135135135135,5.24864864864865,5.7372972972973,18.1046756756757,17.9878918918919,17.5334324324324,17.1644324324324,16.9404054054054,16.9263783783784,16.3195135135135,16.2327297297297,16.2324324324324,16.5531621621622,16.8065675675676,17.2877027027027
2021-03-17,7,3,13,9,4,13,17.9671818181818,17.8671515151515,17.596,17.2571818181818,16.9947272727273,16.7065151515152,16.4388181818182,16.4868181818182,16.5393333333333,16.9250606060606,17.1092727272727,17.7246363636364,2.56848484848485,2.60484848484848,2.69606060606061,2.90939393939394,2.86393939393939,3.04454545454545,3.16818181818182,3.67424242424242,3.96121212121212,4.91484848484849,7.53333333333333,6.57939393939394,17.7177878787879,17.6844242424242,17.4459696969697,17.1248181818182,16.804303030303,16.5546666666667,16.5017575757576,16.2502121212121,16.5539696969697,16.8216666666667,17.2125151515152,17.642303030303
2021-03-18,5,9,16,4,9,18,18.0140714285714,17.9561904761905,17.6080238095238,17.1860952380952,16.9841904761905,17.0656904761905,16.8480238095238,16.4614761904762,16.5855476190476,16.8610238095238,17.3046904761905,17.5494047619048,2.57690476190476,2.60357142857143,2.74285714285714,3.2002380952381,3.01190476190476,2.84023809523809,2.86333333333333,3.54047619047619,5.06071428571429,6.08380952380953,6.295,5.45142857142857,17.9050952380952,17.794,17.6420952380952,17.0863333333333,16.8126666666667,16.8349285714286,16.8933095238095,16.5866428571429,16.6035,16.6872857142857,17.0263333333333,17.5556428571429
2021-03-19,3,7,25,8,7,25,17.88846,17.98044,17.81416,17.41314,17.00782,16.86102,16.57966,16.36024,16.49646,16.8494,17.02572,17.2975,2.561,2.5674,2.6218,2.6766,2.822,2.8098,3.2016,3.9778,3.5588,4.8932,5.6588,8.072,17.93346,17.74198,17.67218,17.4218,16.93688,16.61726,16.5214,16.34624,16.28202,16.5791,16.9613,17.24616
2021-03-20,3,7,17,1,9,17,18.213027027027,18.0548108108108,17.7829189189189,17.3864054054054,17.2480540540541,16.9567837837838,16.7234324324324,16.5248108108108,16.5123513513514,16.5721081081081,16.9008918918919,17.4254324324324,2.55621621621622,2.58243243243243,2.59675675675676,2.6172972972973,2.6672972972973,2.84,3.09891891891892,3.21702702702703,4.18756756756757,5.53432432432432,6.18243243243243,5.66027027027027,18.2055405405405,17.9142702702703,17.7371621621622,17.3263783783784,17.0608378378378,16.7334864864865,16.7418378378378,16.4436216216216,16.2839459459459,16.5099459459459,16.6468648648649,17.1481081081081
2021-03-21,6,6,17,11,5,15,18.2407435897436,18.0280769230769,17.8746666666667,17.7087692307692,17.4191282051282,17.1931794871795,16.9788974358974,16.6518461538462,16.539358974359,16.5337948717949,16.7049487179487,16.8591538461539,2.55410256410256,2.57717948717949,2.59435897435897,2.65564102564103,2.86307692307692,2.87974358974359,3.53564102564103,3.29794871794872,3.30128205128205,4.31769230769231,4.47666666666667,6.01461538461539,18.2108717948718,17.8134871794872,17.7834615384615,17.519641025641,17.3111025641026,17.0919743589744,16.8413076923077,16.7110256410256,16.3226153846154,16.5976153846154,16.6363333333333,16.9837948717949
2021-03-22,5,5,19,7,8,18,18.3170465116279,18.072023255814,17.9602558139535,17.6486046511628,17.3206046511628,17.2366511627907,17.2156976744186,16.8838372093023,16.6358372093023,16.5707209302326,16.6497906976744,16.9092790697674,2.55,2.57883720930233,2.58209302325581,2.66116279069767,2.88651162790698,3.3993023255814,3.47348837209302,3.0306976744186,3.50953488372093,4.5953488372093,5.05232558139535,5.36209302325581,18.2193953488372,18.046488372093,17.9243255813953,17.6565348837209,17.2576976744186,17.1390465116279,17.0062558139535,16.8965581395349,16.5739069767442,16.5487441860465,16.5739302325581,16.8397441860465
2021-03-23,9,13,25,12,11,29,18.4280666666667,18.1822333333333,18.0072166666667,17.8239666666667,17.61825,17.50145,17.2675333333333,16.9007833333333,16.5782333333333,16.511,16.5222833333333,16.7634,2.5465,2.56933333333333,2.582,2.6795,2.76,2.73233333333333,2.9505,3.31783333333333,3.4025,3.86783333333333,4.012,4.72233333333333,18.4354666666667,18.2061833333333,17.872,17.6514833333333,17.41085,17.2587666666667,17.0995833333333,16.9036666666667,16.52315,16.3667333333333,16.4745666666667,16.7115
2021-03-24,7,8,21,9,5,20,18.4415531914894,18.1714893617021,17.9467872340426,17.8375106382979,17.5617234042553,17.2503829787234,17.049829787234,16.9733829787234,16.7712127659574,16.614914893617,16.6328510638298,16.9746170212766,2.53085106382979,2.56510638297872,2.57893617021277,2.58297872340426,2.64595744680851,2.81297872340426,3.16255319148936,3.10489361702128,3.37234042553192,4.00510638297872,4.18191489361702,4.84340425531915,18.5127234042553,18.1884255319149,17.8304680851064,17.7567659574468,17.489829787234,17.1185957446809,16.8802978723404,16.8296382978723,16.692,16.450085106383,16.5685531914894,16.8033617021277
2021-03-25,9,6,16,9,9,22,18.4458823529412,18.2773725490196,17.9427450980392,17.7743921568627,17.6779607843137,17.4043333333333,17.1747058823529,16.9409803921569,16.8096666666667,16.5509607843137,16.6490588235294,16.8740588235294,2.52921568627451,2.56529411764706,2.61901960784314,3.0021568627451,2.6843137254902,2.82764705882353,2.89470588235294,3.34549019607843,3.37235294117647,4.13725490196078,4.65980392156863,4.77745098039216,18.5306274509804,18.220137254902,17.9605294117647,17.7100784313725,17.4943529411765,17.3236666666667,17.0637843137255,16.8093333333333,16.7480392156863,16.5090588235294,16.5612745098039,16.6724705882353
