,IMO,Dport,Dcountry,Dtime,Aport,Acountry,Atime,D_NA,A_NA,D_SA,A_SA,D_AS,A_AS,D_OC,A_OC,D_AF,A_AF,D_EU,A_EU,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,Asia_Fut_0,Asia_Fut_-3,Asia_Fut_-6,Asia_Fut_-9,Asia_Fut_-12,Eur_Fut_0,Eur_Fut_-3,Eur_Fut_-6,Eur_Fut_-9,Eur_Fut_-12
24,8706155,Jakarta Term., Indonesia,2021-03-29,Bontang, Indonesia,2021-04-22,0,0,0,0,1,1,0,0,0,0,0,0,18.628,18.494,18.137,17.664,17.803,2.58,2.52,2.56,2.53,2.6,9.06,9.06,9.06,9.06,9.06,18.445,18.68,18.38,17.262,17.999000000000006
25,8913150,Mizushima, Japan,2021-02-19,Withnell Bay, Australia,2021-03-07,0,0,0,0,1,0,0,1,0,0,0,0,16.884,16.783,17.664,19.791,18.787,4.96,11.32,6.12,3.76,3.4,9.06,9.06,9.06,9.06,9.06,16.552,16.688,17.599,18.581,20.157
26,8913150,Withnell Bay, Australia,2021-03-07,Yanai, Japan,2021-03-20,0,0,0,0,0,1,1,0,0,0,0,0,16.569000000000006,15.915,15.885,16.077,15.841,2.67,2.79,2.7,2.66,2.94,9.06,9.06,9.06,9.06,9.06,16.155,15.981,16.05,15.722,16.258
27,8913150,Yanai, Japan,2021-03-20,Singapore Anch. 5, Singapore,2021-04-03,0,0,0,0,1,1,0,0,0,0,0,0,17.664,17.803,18.353,17.709,16.601,2.53,2.6,2.58,2.7,2.67,9.06,9.06,9.06,9.06,9.06,17.262,17.999000000000006,17.910999999999994,18.138,16.155
28,8913150,Singapore Anch. 5, Singapore,2021-04-03,Singapore, Singapore,2021-04-04,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.607,18.585,18.662,17.737000000000005,2.52,2.52,2.58,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.159,18.967,18.445,18.363,18.008
29,9001772,Hongqiao, China,2021-02-23,Hongqiao, China,2021-03-07,0,0,0,0,1,1,0,0,0,0,0,0,15.841,16.625,16.532,17.664,19.598,2.94,4.96,23.86,6.12,6.5,9.06,9.06,9.06,9.06,9.06,16.258,16.552,16.554000000000002,16.567999999999998,17.401
30,9001772,Hongqiao, China,2021-03-07,"Bintulu,Sarawak", Malaysia,2021-03-21,0,0,0,0,1,1,0,0,0,0,0,0,16.569000000000006,15.915,15.885,16.077,15.841,2.67,2.79,2.7,2.66,2.94,9.06,9.06,9.06,9.06,9.06,16.155,15.981,16.05,15.722,16.258
31,9001772,"Bintulu,Sarawak", Malaysia,2021-03-21,Shanghai, China,2021-03-30,0,0,0,0,1,1,0,0,0,0,0,0,17.664,18.061,18.42,17.97,16.729,2.55,2.45,2.58,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.749000000000006,17.910999999999994,18.454,16.925
32,9001772,Shanghai, China,2021-03-30,Hongqiao, China,2021-04-11,0,0,0,0,1,1,0,0,0,0,0,0,18.332,18.585,18.257,17.664,18.061,2.55,2.52,2.56,2.55,2.45,9.06,9.06,9.06,9.06,9.06,18.84,18.68,18.568,18.008,17.749000000000006
33,9001772,Hongqiao, China,2021-04-11,"Bintulu,Sarawak", Malaysia,2021-04-19,0,0,0,0,1,1,0,0,0,0,0,0,19.312,20.074,19.175,19.175,18.332,2.5,2.47,2.43,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.651,19.03,19.794,19.159,18.84
34,9001772,"Bintulu,Sarawak", Malaysia,2021-04-19,Shanghai, China,2021-04-25,0,0,0,0,1,1,0,0,0,0,0,0,21.042,20.618,20.276,19.312,20.103,2.75,2.63,2.57,2.48,2.43,9.06,9.06,9.06,9.06,9.06,20.938,20.551,19.469,18.943,19.303
