IMO,Port,Country,Arrival,Departure,In Port
9275074,Maloy, Norway,"Apr 22, 18:42","-","-"
9275074,Spjelkavik, Norway,"Apr 22, 07:14","Apr 22, 13:37","6h 23m"
9520376,Gaolan, China,"Apr 24, 02:34","Apr 25, 08:12","1d 5h"
9520376,Bonny, Nigeria,"Mar 30, 00:05","Mar 31, 06:06","1d 6h"
9520376,Singapore Anch. 1, Singapore,"Mar 7, 03:55","Mar 8, 01:05","21h 9m"
9520376,Singapore, Singapore,"Mar 6, 01:23","Mar 7, 03:44","1d 2h"
9613161,Pasir Gudang,"Johor, Malaysia","Apr 21, 00:32","-","-"
9613161,Singapore Anch. 5, Singapore,"Apr 19, 13:34","Apr 20, 23:00","1d 9h"
9613161,Pasir Gudang,"Johor Anch., Malaysia","Apr 18, 02:19","Apr 19, 12:20","1d 10h"
9613161,Yung An, Taiwan,"Apr 11, 23:54","Apr 13, 02:45","1d 2h"
9613161,Lese, Papua New Guinea,"Apr 2, 20:56","Apr 3, 22:37","1d 1h"
9248502,Dapeng, China,"Apr 16, 05:11","Apr 17, 05:20","1d"
9248502,Bintulu,"Sarawak, Malaysia","Apr 11, 04:22","Apr 12, 07:21","1d 2h"
9248502,Hongqiao, China,"Mar 29, 03:58","Mar 30, 05:48","1d 1h"
9248502,Niigata, Japan,"Mar 15, 05:05","Mar 16, 04:16","23h 11m"
9248502,Souma, Japan,"Feb 28, 00:37","Mar 1, 03:20","1d 2h"
9851634,Dahej, India,"Mar 28, 22:04","Mar 30, 07:07","1d 9h"
9851634,Punta Europa, Equatorial Guinea,"Mar 9, 06:25","Mar 10, 11:33","1d 5h"
9859739,Okpo, Korea,"Apr 22, 22:20","-","-"
9859739,Gwangyang, Korea,"Apr 20, 01:39","Apr 20, 13:41","12h 1m"
9859739,Okpo Anch., Korea,"Apr 15, 23:20","-","-"
9859739,Okpo Anch., Korea,"Apr 14, 23:45","Apr 15, 01:59","2h 14m"
9859739,Okpo Anch., Korea,"Apr 10, 23:12","Apr 13, 08:15","2d 9h"
9844863,Wheatstone LNG Term., Australia,"Apr 24, 02:05","Apr 25, 01:12","23h 6m"
9844863,Naoetsu, Japan,"Apr 10, 23:43","Apr 12, 00:42","1d"
9844863,Dampier Anch., Australia,"Mar 29, 07:12","Mar 29, 09:46","2h 34m"
9844863,Withnell Bay, Australia,"Mar 28, 02:13","Mar 29, 05:05","1d 2h"
9844863,Busan Anch., Korea,"Mar 5, 00:21","Mar 6, 04:50","1d 4h"
9030838,Yokkaichi, Japan,"Apr 21, 05:22","Apr 22, 03:20","21h 57m"
9030838,Incheon, Korea,"Apr 2, 02:07","Apr 3, 00:41","22h 34m"
9030838,Okpo Anch., Korea,"Mar 19, 03:40","-","-"
9030838,Anjeong, Korea,"Mar 18, 01:09","Mar 19, 01:21","1d"
9030838,Nagoya, Japan,"Feb 27, 06:36","Feb 28, 03:53","21h 17m"
9851787,Montoir, France,"Apr 23, 11:46","Apr 24, 14:40","1d 2h"
9851787,Lake Charles, United States (USA),"Apr 10, 19:05","Apr 11, 20:34","1d 1h"
9851787,Marmara Ereglisi, Turkey,"Mar 23, 19:50","Mar 24, 22:29","1d 2h"
9851787,Lake Charles, United States (USA),"Mar 5, 16:37","Mar 7, 00:12","1d 7h"
9179581,Qalhat, Oman,"Apr 16, 15:46","Apr 17, 17:27","1d 1h"
9179581,Incheon, Korea,"Apr 1, 06:20","Apr 2, 05:12","22h 51m"
9179581,Qalhat, Oman,"Mar 17, 05:38","Mar 18, 06:10","1d"
9179581,Anjeong, Korea,"Mar 2, 02:59","Mar 3, 02:21","23h 21m"
9321770,Zeebrugge, Belgium,"Apr 12, 02:52","Apr 13, 04:47","1d 1h"
9085613,Anegasaki, Japan,"Apr 15, 04:30","Apr 16, 06:01","1d 1h"
9085613,Ras Laffan, Qatar,"Mar 28, 16:20","Mar 29, 16:00","23h 39m"
9085613,Singapore Anch. 1, Singapore,"Mar 20, 00:40","Mar 20, 15:25","14h 45m"
9085613,Anegasaki, Japan,"Mar 12, 02:00","Mar 13, 02:43","1d"
9825427,Barrow Island, Australia,"Apr 26, 03:05","Apr 27, 04:09","1d 1h"
9825427,Singapore Anch. 3, Singapore,"Apr 15, 01:23","Apr 15, 23:33","22h 10m"
9825427,Yokohama, Japan,"Apr 3, 05:59","Apr 4, 11:12","1d 5h"
9825427,Withnell Bay, Australia,"Mar 21, 00:25","Mar 22, 03:45","1d 3h"
9825427,Singapore Anch. 1, Singapore,"Mar 6, 00:37","Mar 8, 00:20","1d 23h"
9321768,Oita, Japan,"Mar 1, 00:44","Mar 2, 00:23","23h 38m"
8701791,Bitung Anch., Indonesia,"Apr 14, 23:23","Apr 16, 20:19","1d 20h"
8701791,Taichung, Taiwan,"Apr 10, 01:10","Apr 11, 01:33","1d"
8701791,Kokura, Japan,"Mar 23, 01:25","Mar 24, 07:17","1d 5h"
8701791,Bitung Anch., Indonesia,"Mar 8, 21:57","Mar 12, 02:00","3d 4h"
8701791,Taichung, Taiwan,"Mar 2, 22:44","Mar 3, 22:42","23h 57m"
7390181,Jakarta Terminal Anch., Indonesia,"Apr 14, 00:25","Apr 19, 00:02","4d 23h"
7390181,Bontang, Indonesia,"Apr 7, 15:03","Apr 10, 06:22","2d 15h"
7390181,Jakarta Terminal Anch., Indonesia,"Apr 3, 02:22","-","-"
7390181,Jakarta Anch., Indonesia,"Mar 14, 08:04","Mar 21, 08:02","6d 23h"
7390181,Jakarta Term., Indonesia,"Mar 11, 09:53","Mar 14, 07:43","2d 21h"
9855812,Rotterdam Maasvlakte, Netherlands,"Apr 25, 12:22","Apr 26, 12:21","23h 58m"
9855812,Ingleside, United States (USA),"Apr 12, 05:30","-","-"
9855812,Ingleside, United States (USA),"Apr 10, 20:05","Apr 12, 05:23","1d 9h"
9855812,Corpus Christi Anch., United States (USA),"Apr 10, 06:39","Apr 10, 18:10","11h 31m"
9855812,Rotterdam Maasvlakte, Netherlands,"Mar 27, 09:59","Mar 28, 18:31","1d 8h"
9496305,Anegasaki, Japan,"Apr 24, 01:35","Apr 25, 04:49","1d 3h"
9496305,Seria, Brunei,"Apr 13, 23:58","-","-"
9496305,Singapore Anch. 1, Singapore,"Apr 7, 04:09","Apr 9, 01:22","1d 21h"
9496305,Caofeidian, China,"Mar 29, 02:03","Mar 30, 07:11","1d 5h"
9496305,Anegasaki, Japan,"Mar 6, 03:42","Mar 7, 10:21","1d 6h"
9744013,Ningbo, China,"Apr 21, 05:40","Apr 24, 01:50","2d 20h"
9744013,Gladstone, Australia,"Apr 9, 00:04","Apr 10, 05:36","1d 5h"
9744013,Gladstone Anch., Australia,"Apr 7, 22:46","Apr 8, 22:03","23h 16m"
9744013,Gaolan, China,"Mar 27, 00:15","Mar 28, 08:11","1d 7h"
9744013,Dampier Anch., Australia,"Mar 18, 07:24","Mar 18, 08:30","1h 6m"
9732371,Busan Anch., Korea,"Apr 25, 02:14","Apr 25, 03:45","1h 31m"
9732371,Withnell Bay, Australia,"Apr 6, 19:34","Apr 8, 17:50","1d 22h"
9732371,Tianjin Xingang, China,"Mar 24, 01:12","Mar 26, 00:32","1d 23h"
9732371,Gladstone, Australia,"Mar 9, 11:45","Mar 10, 19:08","1d 7h"
9211872,Shimizu, Japan,"Apr 18, 00:13","Apr 19, 02:17","1d 2h"
9211872,Bintulu,"Sarawak, Malaysia","Apr 11, 07:01","Apr 12, 05:53","22h 51m"
9211872,Anegasaki, Japan,"Apr 5, 04:14","-","-"
9211872,Anegasaki, Japan,"Apr 4, 04:06","Apr 5, 04:14","1d"
9211872,Mab Tapud, Thailand,"-","Feb 28, 00:47","-"
9878876,Shanghai Anch., China,"Apr 24, 17:54","-","-"
