IMO,Port,Country,Arrival,Departure,In Port
9714290,Anegasaki, Japan,"03/22, 01:20","03/23, 03:55",1d 2h
9714290,Bintulu,"Sarawak, Malaysia","04/01, 17:35","04/01, 17:35",
9714290,Boryeong, Korea,"04/07, 03:14","04/08, 04:53",1d 1h
9714290,Bintulu,"Sarawak, Malaysia","04/23, 09:09","04/24, 19:12",1d 10h
9714290,Hongqiao, China,"05/01, 06:35","05/02, 08:26",1d 1h
9714305,Gladstone, Australia,"03/02, 16:36","03/03, 20:14",1d 3h
9714305,Pengerang, Malaysia,"03/18, 07:36","03/19, 06:54",23h 18m
9714305,Mab Tapud, Thailand,"03/26, 01:16","03/27, 03:44",1d 2h
9714305,Xiuyu, China,"04/26, 09:28","04/28, 05:04",1d 19h
9714305,Bintulu,"Sarawak, Malaysia","05/03, 08:03","05/04, 08:06",1d
9714305,Kitakyushu, Japan,"05/11, 01:52",,
9721401,Pyeongtaek, Korea,"03/07, 05:51","03/08, 05:41",23h 49m
9721401,Singapore Anch. 1, Singapore,"03/15, 08:38","03/17, 09:15",2d
9721401,Mina al Fahl Anch., Oman,"03/26, 13:40","03/27, 11:26",21h 46m
9721401,Ras Laffan Anch., Qatar,"03/28, 18:17","04/04, 12:56",6d 18h
9721401,Ras Laffan, Qatar,"04/07, 05:42","04/08, 06:23",1d
9721401,As Suways (Suez) Anch., Egypt,"04/16, 09:52","04/17, 05:04",19h 12m
9721401,Barcelona, Spain,"04/22, 02:39","04/23, 04:57",1d 2h
9721401,Gibraltar West Anch., Gibraltar,"04/26, 06:34",,
9721724,Sabine, United States (USA),"02/12, 03:48","02/13, 18:55",1d 15h
9721724,Algeciras Anch., Spain,"02/27, 16:09","02/27, 20:57",4h 48m
9721724,Port Said Anch., Egypt,"03/04, 16:09","03/05, 03:54",11h 44m
9721724,Nagoya, Japan,"03/25, 23:56","03/27, 01:25",1d 1h
9721724,Singapore Anch. 1, Singapore,"04/14, 15:02","04/15, 22:02",1d 7h
9721724,Wheatstone LNG Term., Australia,"05/03, 18:04","05/04, 16:03",21h 59m
9721736,Sabine, United States (USA),"03/03, 03:35","03/04, 18:07",1d 14h
9721736,Thamesport, United Kingdom (UK),"03/17, 00:18","03/17, 23:33",23h 14m
9721736,La Brea (Brighton) Anch., Trinidad & Tobago,"03/29, 07:45","03/31, 10:40",2d 2h
9721736,Point Fortin, Trinidad & Tobago,"03/31, 12:40","04/01, 13:09",1d
9721736,Guayanilla, Puerto Rico,"04/04, 11:26","04/05, 14:47",1d 3h
9721736,Corpus Christi Anch., United States (USA),"04/19, 12:58","04/20, 01:51",12h 52m
9721736,Ingleside, United States (USA),"04/20, 03:55","04/21, 09:59",1d 6h
9721736,Rotterdam Maasvlakte, Netherlands,"05/03, 12:53","05/04, 20:42",1d 7h
9723801,Barrow Island, Australia,"02/21, 01:03","02/22, 01:20",1d
9723801,Tianjin Xingang, China,"03/07, 01:56","03/08, 06:47",1d 4h
9723801,Barrow Island Anch., Australia,"03/20, 14:17","03/23, 19:14",3d 4h
9723801,Barrow Island, Australia,"03/23, 21:12","03/24, 22:44",1d 1h
9723801,Yangkou, China,"04/05, 02:53","04/06, 01:54",23h 1m
9723801,Barrow Island Anch., Australia,"04/15, 22:56","04/16, 23:11",1d
9723801,Barrow Island, Australia,"04/17, 01:08","04/18, 02:00",1d
9732369,Singapore Anch. 1, Singapore,"02/19, 10:25","02/20, 06:11",19h 45m
9732369,Tianjin Xingang, China,"03/01, 05:35","03/03, 01:43",1d 20h
9732369,Gladstone, Australia,"03/20, 19:38","03/22, 00:56",1d 5h
9732369,Tianjin Xingang, China,"04/03, 01:51","04/04, 06:28",1d 4h
9732369,Withnell Bay, Australia,"04/24, 01:35","04/25, 05:14",1d 3h
9732369,Yung An, Taiwan,"05/02, 23:55","05/03, 23:38",23h 42m
9732371,Tianjin Xingang, China,"02/23, 01:23","02/25, 00:45",1d 23h
9732371,Gladstone, Australia,"03/09, 11:45","03/10, 19:08",1d 7h
9732371,Tianjin Xingang, China,"03/24, 01:12","03/26, 00:32",1d 23h
9732371,Withnell Bay, Australia,"04/06, 19:34","04/08, 17:50",1d 22h
9732371,Busan Anch., Korea,"04/25, 02:14","04/25, 03:45",1h 31m
9732371,Gladstone, Australia,"05/06, 00:05","05/07, 11:49",1d 11h
9736092,Panama Canal Anch. Atlantic, Panama,"02/26, 14:52","03/02, 08:51",3d 17h
9736092,Pasir Gudang,"Johor Anch., Malaysia","04/09, 22:51","04/12, 23:19",3d
9736092,Singapore Anch. 1, Singapore,"04/13, 02:28","04/15, 01:40",1d 23h
9737187,Montoir Anch., France,"03/19, 20:29","03/21, 05:01",1d 8h
9737187,Montoir, France,"03/21, 06:37","03/22, 10:00",1d 3h
9737187,Sabetta, Russia,"03/31, 10:36","04/01, 12:37",1d 2h
9737187,Thamesport, United Kingdom (UK),"04/09, 08:54","04/10, 12:40",1d 3h
9737187,Sabetta, Russia,"04/18, 05:55","04/20, 12:21",2d 6h
9737187,Rotterdam Maasvlakte, Netherlands,"04/28, 20:12","04/29, 21:02",1d
9737187,Sabetta, Russia,"05/07, 02:28",,
9742807,Panama Canal Anch. Pacific, Panama,"02/17, 22:04","02/17, 22:04",
9742807,Mejillones, Chile,"02/23, 01:16","02/24, 00:24",23h 8m
9742807,Panama Canal Anch. Pacific, Panama,"02/28, 19:45","03/05, 07:42",4d 11h
9742807,Corpus Christi Anch., United States (USA),"03/11, 23:55","03/12, 08:19",8h 24m
9742807,Ingleside, United States (USA),"03/12, 10:17","03/13, 19:42",1d 9h
9742807,Dahej, India,"04/24, 07:42","04/25, 16:42",1d 8h
9742807,Ras Laffan, Qatar,"04/28, 16:49","04/29, 18:49",1d 2h
9742807,As Suways (Suez) Anch., Egypt,"05/06, 12:16","05/07, 05:10",16h 53m
9742819,Port Arthur Anch., United States (USA),"03/21, 22:27","03/23, 05:01",1d 6h
9742819,Sabine, United States (USA),"03/23, 08:39","03/24, 12:47",1d 4h
9742819,Panama Canal Anch. Atlantic, Panama,"03/28, 19:50","04/04, 09:47",6d 13h
9742819,Panama Canal Anch. Pacific, Panama,"04/05, 00:22","04/08, 12:53",3d 12h
9742819,Mejillones, Chile,"04/15, 13:11","04/16, 13:30",1d
9742819,Panama Canal Anch. Pacific, Panama,"04/21, 16:01","04/22, 07:22",15h 21m
9742819,Port Arthur Anch., United States (USA),"04/30, 05:01","04/30, 10:27",5h 25m
9742819,Sabine, United States (USA),"04/30, 13:38","05/02, 09:36",1d 19h
9743875,Wheatstone LNG Term., Australia,"02/24, 02:06","02/24, 23:34",21h 28m
9743875,Tianjin Xingang, China,"03/09, 02:02","03/11, 01:48",1d 23h
9743875,Darwin, Australia,"03/24, 21:23","03/26, 00:14",1d 2h
9743875,Kawasaki, Japan,"04/07, 02:52","04/08, 03:02",1d
9743875,Bintulu,"Sarawak, Malaysia","04/18, 01:32","04/19, 03:09",1d 1h
9743875,Prigorodnoye, Russia,"05/09, 01:52","05/10, 04:36",1d 2h
9744013,Barrow Island, Australia,"03/16, 17:13","03/18, 02:39",1d 9h
9744013,Dampier Anch., Australia,"03/18, 07:24","03/18, 08:30",1h 6m
9744013,Gaolan, China,"03/27, 00:15","03/28, 08:11",1d 7h
9744013,Gladstone Anch., Australia,"04/07, 22:46","04/08, 22:03",23h 16m
9744013,Gladstone, Australia,"04/09, 00:04","04/10, 05:36",1d 5h
9744013,Ningbo, China,"04/21, 05:40","04/24, 01:50",2d 20h
9744025,Port Arthur Anch., United States (USA),"02/26, 15:54","03/04, 01:18",5d 9h
9744025,Sabine, United States (USA),"03/04, 04:01","03/05, 09:30",1d 5h
9744025,Panama Canal Anch. Atlantic, Panama,"03/09, 14:32","03/10, 10:38",20h 5m
9744025,Ningbo, China,"04/02, 06:11","04/04, 07:23",2d 1h
9744025,Barrow Island, Australia,"04/14, 23:10","04/16, 03:24",1d 4h
9744025,Singapore, Singapore,"04/20, 23:46","04/22, 04:54",1d 5h
9744025,Singapore Anch. 1, Singapore,"04/22, 05:15","04/22, 22:37",17h 21m
9744025,Prelude Term., Australia,"04/30, 22:17","05/02, 12:56",1d 14h
9748899,Singapore Anch. 1, Singapore,"03/02, 23:01","03/03, 01:09",2h 7m
9748899,Singapore Anch. 1, Singapore,"03/04, 04:45","03/04, 22:35",17h 49m
9748899,Barrow Island, Australia,"03/10, 05:41","03/11, 06:50",1d 1h
9748899,Gaolan, China,"03/19, 03:03","03/20, 08:46",1d 5h
9748899,Barrow Island, Australia,"03/28, 01:36","03/29, 01:48",1d
9748904,As Suways (Suez) Anch., Egypt,"03/04, 14:34","03/05, 06:15",15h 41m
9748904,Freeport, United States (USA),"03/22, 15:39","03/23, 19:32",1d 3h
9748904,Fos sur mer, France,"04/06, 03:11","04/07, 07:19",1d 4h
9748904,Lake Charles, United States (USA),"04/21, 15:54","04/22, 22:52",1d 6h
9748904,Panama Canal Anch. Atlantic, Panama,"04/27, 01:29","04/27, 10:11",8h 42m
9749609,Lese, Papua New Guinea,"03/02, 02:31","03/03, 07:44",1d 5h
9749609,Sakai, Japan,"03/11, 23:52","03/13, 02:01",1d 2h
9749609,Lese, Papua New Guinea,"03/24, 20:24","03/26, 00:14",1d 3h
9749609,Nagoya Anch., Japan,"04/05, 00:22","04/06, 00:43",1d
9749609,Nagoya, Japan,"04/06, 01:26","04/07, 01:06",23h 39m
9749609,Wheatstone LNG Term., Australia,"04/21, 02:06","04/22, 00:21",22h 14m
9749609,Shimizu, Japan,"05/05, 00:15","05/06, 00:37",1d
9749609,Kawasaki, Japan,"05/09, 04:49","05/10, 00:00",19h 10m
9750220,Port Arthur Anch., United States (USA),"03/30, 14:20","03/31, 22:59",1d 8h
9750220,Sabine, United States (USA),"04/01, 02:24","04/02, 13:54",1d 11h
9750220,Port Arthur Anch., United States (USA),"04/02, 16:09","04/07, 12:38",4d 20h
9750220,Galveston, United States (USA),"04/08, 17:45","04/14, 19:36",6d 1h
9750220,Port Arthur Anch., United States (USA),"04/15, 13:52","04/24, 06:13",8d 16h
9750220,Sabine, United States (USA),"04/25, 17:58","04/27, 13:43",1d 19h
9750232,Port Arthur Anch., United States (USA),"03/15, 17:18","03/16, 00:19",7h
9750232,Sabine, United States (USA),"03/16, 02:43","03/17, 08:23",1d 5h
9750244,Punta Europa, Equatorial Guinea,"03/16, 10:29","03/18, 07:20",1d 20h
9750244,Walvis Bay Anch., Namibia,"03/23, 06:34","03/23, 10:13",3h 38m
9750244,Tianjin Xingang, China,"04/15, 01:44","04/16, 07:11",1d 5h
9750256,Milford Haven, United Kingdom (UK),"02/25, 05:23","02/26, 15:10",1d 9h
9750256,Port Rashid, Egypt,"03/09, 11:06","03/10, 13:54",1d 2h
9750256,Port Said Anch., Egypt,"03/12, 06:05","03/13, 03:47",21h 42m
9750256,Mundra, India,"03/22, 03:03","03/23, 04:05",1d 1h
9750256,Walvis Bay Anch., Namibia,"04/10, 05:49","04/10, 12:30",6h 41m
