Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Date scraping,Date position
ARCTIC DISCOVERER,9276389,309481000,Bahamas,290,49,118571,75485,-,-,9.5,43.47448 N/8.2224 W,206.3°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:07 UTC"
LALLA FATMA N'SOUMER,9275347,311775000,Bahamas,290,49,118363,80920,ARZEW ALGERIA,"Mar 23, 07:00",10.0,37.53902 N/25.72735 E,178.3°, 17.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
ELISA LARUS,9852975,228385600,France,297,46,118286,82244,FR DKK,"Mar 19, 10:00",11.4,51.03844 N/2.18824 E,351.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 20:58 UTC"
FUJI LNG,9275359,229443000,Malta,290,49,118219,77351,-,-,10.1,24.92499 N/93.68641 W,210.0°, 2.1 kn,2021-03-19,"Mar 18, 2021 17:17 UTC"
SYMPHONIC BREEZE,9330745,309839000,Bahamas,290,49,117895,77163,EAST OPL,"Mar 15, 06:00",10.0,1.33106 N/104.39221 E,47.4°, 13.5 kn,2021-03-19,"Mar 15, 2021 06:08 UTC"
DIAMOND GAS METROPOLIS,9862487,311000968,Bahamas,297,46,117564,81950,PA BLB,"Apr 2, 17:00",9.7,33.8405 N/134.88488 E,189.9°, 15.7 kn,2021-03-19,"Mar 9, 2021 07:19 UTC"
YAMAL SPIRIT,9781920,311000666,Bahamas,294,48,117162,91610,MALE,"Mar 18, 02:00",9.3,3.76546 N/100.13234 E,317.0°, 19.5 kn,2021-03-19,"Mar 14, 2021 06:25 UTC"
SK AUDACE,9693161,373808000,Panama,292,48,117031,94665,USFPO,"Mar 29, 11:00",9.7,33.63721 N/23.46255 W,260.0°, 16.2 kn,2021-03-19,"Mar 17, 2021 21:06 UTC"
SK RESOLUTE,9693173,354184000,Panama,292,48,117031,94665,TWYAN,"Apr 20, 16:00",11.2,24.90355 N/88.62914 W,122.0°, 18.1 kn,2021-03-19,"Mar 16, 2021 05:12 UTC"
SCF LA PEROUSE,9849887,636019530,Liberia,299,46,116779,81855,USCP6,"Mar 19, 05:30",9.3,37.22496 N/76.13963 W,18.0°, 13.7 kn,2021-03-19,"Mar 19, 2021 06:42 UTC"
SCF BARENTS,9864746,636019878,Liberia,299,46,116779,81855,QA RLF,"Mar 20, 03:30",9.3,26.27487 N/53.0193 E,265.6°, 12.6 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
SCF TIMMERMAN,9870525,636020078,Liberia,299,46,116779,81855,ATL. OCEAN FOR ORDER,"Mar 28, 04:00",9.6,3.99081 N/100.01363 E,329.0°, 18.6 kn,2021-03-19,"Mar 14, 2021 15:42 UTC"
UMM AL ASHTAN,9074652,636010647,Liberia,290,48,116703,73100,JP KZU>AE DAS,"Apr 5, 03:00",9.9,34.33266 N/139.45885 E,194.2°, 13.0 kn,2021-03-19,"Mar 12, 2021 08:32 UTC"
AL HAMRA,9074640,636010544,Liberia,289,48,116703,72990,AE DAS,"Mar 16, 07:07",9.7,25.27078 N/56.4862 E,7.6°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
MUBARAZ,9074626,636010373,Liberia,290,48,116703,72950,AE DAS>IN DAH,"Mar 18, 18:18",11.6,21.67009 N/72.50951 E,93.3°, 0.0 kn,2021-03-19,"Mar 19, 2021 19:19 UTC"
MRAWEH,9074638,636010457,Liberia,290,48,116703,73040,AE DAS>CN ZUH,"Apr 4, 20:01",11.5,25.80724 N/53.81366 E,50.8°, 15.6 kn,2021-03-19,"Mar 19, 2021 21:01 UTC"
LNG ABALAMABIE,9690171,310731000,Bermuda,292,48,116568,86925,NGBON,"Mar 19, 12:00",9.1,11.7587 N/20.18728 W,155.7°, 18.7 kn,2021-03-19,"Mar 13, 2021 08:37 UTC"
LNG FINIMA II,9690145,310722000,Bermuda,292,48,116568,86867,WEST AFRICA,"Apr 16, 20:00",9.6,16.99701 N/115.56228 E,176.5°, 15.9 kn,2021-03-19,"Mar 17, 2021 08:30 UTC"
LNG ABUJA II,9690169,310730000,Bermuda,292,48,116568,87147,SEATRIAL,"Mar 19, 05:14",9.5,43.76044 N/10.1803 W,264.0°, 8.3 kn,2021-03-19,"Mar 19, 2021 21:06 UTC"
LNG PORT-HARCOURT II,9690157,310719000,Bermuda,292,48,116568,87139,DUBAI UAE,"Feb 22, 06:00",8.0,25.24981 N/55.26411 E,-, 0.0 kn,2021-03-19,"Mar 19, 2021 11:51 UTC"
LA SEINE,9845764,215503000,Malta,299,46,116542,93200,RIO DE JANEIRO,"Mar 17, 06:00",11.4,14.21747 N/60.74829 W,96.0°, 15.6 kn,2021-03-19,"Mar 8, 2021 14:23 UTC"
FLEX AURORA,9857365,538008764,Marshall Islands,297,46,116430,83000,FOR ORDERS,"Mar 13, 03:33",11.3,26.22018 N/79.35395 W,38.5°, 16.5 kn,2021-03-19,"Mar 15, 2021 16:30 UTC"
COOL DISCOVERER,9861031,215567000,Malta,299,46,116354,92800,FOR ORDERS,"Apr 1, 23:59",9.6,37.51142 N/11.09013 E,304.0°, 16.8 kn,2021-03-19,"Mar 18, 2021 14:17 UTC"
LA MANCHA KNUTSEN,9721724,224444000,Spain,284,46,116246,92802,JAPAN,"Mar 25, 15:01",11.8,1.42706 N/104.49485 E,53.8°, 16.3 kn,2021-03-19,"Mar 17, 2021 22:34 UTC"
RIOJA KNUTSEN,9721736,224451000,Spain,290,46,116246,92782,TTPTF,"Mar 28, 10:00",9.4,48.66448 N/8.1208 W,239.0°, 2.2 kn,2021-03-19,"Mar 19, 2021 11:05 UTC"
LNG LAGOS II,9692014,310721000,Bermuda,300,46,115995,99025,TENERIFE,"Mar 19, 08:00",9.6,28.48413 N/16.19019 W,181.4°, 0.5 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
LNG BONNY II,9692002,310720000,Bermuda,300,46,115995,98954,BONNY NIGERIA,"Mar 27, 21:30",9.6,10.83135 N/20.19947 W,181.7°, 12.7 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
LNG CROSS RIVER,9262223,310478000,Bermuda,288,48,115993,79591,WEST AFRICA,"Apr 8, 04:00",9.5,21.65695 N/63.03921 E,135.4°, 16.1 kn,2021-03-19,"Mar 16, 2021 07:23 UTC"
LNG RIVER NIGER,9262235,310479000,Bermuda,288,48,115993,79541,HUELVA,"Mar 19, 03:30",11.4,37.17023 N/6.91296 W,218.0°, 0.5 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
