,IMO,Dport,Dcountry,Dtime,Aport,Acountry,Atime,D_NA,A_NA,D_SA,A_SA,D_AS,A_AS,D_OC,A_OC,D_AF,A_AF,D_EU,A_EU,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,Asia_Fut_0,Asia_Fut_-3,Asia_Fut_-6,Asia_Fut_-9,Asia_Fut_-12,Eur_Fut_0,Eur_Fut_-3,Eur_Fut_-6,Eur_Fut_-9,Eur_Fut_-12
28,8913150,Singapore Anch. 5, Singapore,2021-04-03,Singapore, Singapore,2021-04-04,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.607,18.585,18.662,17.737000000000002,2.52,2.52,2.58,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.159000000000002,18.967,18.445,18.363,18.008
29,9001772,Hongqiao, China,2021-02-23,Hongqiao, China,2021-03-07,0,0,0,0,1,1,0,0,0,0,0,0,15.841,16.625,16.532,17.664,19.598,2.94,4.96,23.86,6.12,6.5,9.06,9.06,9.06,9.06,9.06,16.258,16.552,16.554000000000002,16.567999999999998,17.401
30,9001772,Hongqiao, China,2021-03-07,"Bintulu,Sarawak", Malaysia,2021-03-21,0,0,0,0,1,1,0,0,0,0,0,0,16.569000000000003,15.915,15.885,16.077,15.841,2.67,2.79,2.7,2.66,2.94,9.06,9.06,9.06,9.06,9.06,16.155,15.981,16.05,15.722000000000001,16.258
31,9001772,"Bintulu,Sarawak", Malaysia,2021-03-21,Shanghai, China,2021-03-30,0,0,0,0,1,1,0,0,0,0,0,0,17.664,18.061,18.42,17.97,16.729,2.55,2.45,2.58,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.749000000000002,17.910999999999998,18.454,16.925
32,9001772,Shanghai, China,2021-03-30,Hongqiao, China,2021-04-11,0,0,0,0,1,1,0,0,0,0,0,0,18.332,18.585,18.257,17.664,18.061,2.55,2.52,2.56,2.55,2.45,9.06,9.06,9.06,9.06,9.06,18.84,18.68,18.567999999999998,18.008,17.749000000000002
33,9001772,Hongqiao, China,2021-04-11,"Bintulu,Sarawak", Malaysia,2021-04-19,0,0,0,0,1,1,0,0,0,0,0,0,19.312,20.074,19.175,19.175,18.332,2.5,2.47,2.43,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.651,19.03,19.794,19.159000000000002,18.84
34,9001772,"Bintulu,Sarawak", Malaysia,2021-04-19,Shanghai, China,2021-04-25,0,0,0,0,1,1,0,0,0,0,0,0,21.041999999999998,20.618000000000002,20.276,19.312,20.102999999999998,2.75,2.63,2.57,2.48,2.43,9.06,9.06,9.06,9.06,9.06,20.938000000000002,20.551,19.469,18.942999999999998,19.303
35,9001784,Shanghai, China,2021-02-17,Shanghai Anch., China,2021-02-18,0,0,0,0,1,1,0,0,0,0,0,0,16.532,17.664,19.598,18.94,18.227,23.86,6.12,6.5,3.4,3.49,9.06,9.06,9.06,9.06,9.06,16.554000000000002,16.567999999999998,17.401,20.157,20.157
36,9001784,Shanghai Anch., China,2021-02-18,"Bintulu,Sarawak", Malaysia,2021-02-26,0,0,0,0,1,1,0,0,0,0,0,0,16.743,17.671,18.016,20.853,18.787,8.56,11.32,6.12,3.35,3.49,9.06,9.06,9.06,9.06,9.06,17.355999999999998,16.567999999999998,17.599,19.109,20.157
37,9001784,"Bintulu,Sarawak", Malaysia,2021-02-26,Shanghai, China,2021-03-04,0,0,0,0,1,1,0,0,0,0,0,0,16.077,15.841,16.625,16.532,17.664,2.66,2.94,4.96,23.86,6.12,9.06,9.06,9.06,9.06,9.06,15.722000000000001,16.258,16.552,16.554000000000002,16.567999999999998
38,9001784,Shanghai, China,2021-03-04,Shanghai, China,2021-03-19,0,0,0,0,1,1,0,0,0,0,0,0,15.915,15.885,16.077,15.841,16.625,2.79,2.7,2.66,2.94,4.96,9.06,9.06,9.06,9.06,9.06,15.981,16.05,15.722000000000001,16.258,16.552
39,9001784,Shanghai, China,2021-03-19,Shanghai, China,2021-04-15,0,0,0,0,1,1,0,0,0,0,0,0,18.347,18.564,18.352999999999998,17.102999999999998,16.569000000000003,2.53,2.5,2.65,2.62,2.67,9.06,9.06,9.06,9.06,9.06,17.262,17.66,18.454,17.561,16.155
40,9001784,Shanghai, China,2021-04-15,Shanghai Anch., China,2021-04-16,0,0,0,0,1,1,0,0,0,0,0,0,20.338,19.476,19.75,19.245,19.175,2.62,2.5,2.48,2.44,2.52,9.06,9.06,9.06,9.06,9.06,20.225,19.651,18.942999999999998,19.794,19.159000000000002
41,9001784,Shanghai Anch., China,2021-04-16,"Bintulu,Sarawak", Malaysia,2021-04-23,0,0,0,0,1,1,0,0,0,0,0,0,20.618000000000002,20.276,19.312,20.102999999999998,19.175,2.63,2.57,2.48,2.43,2.43,9.06,9.06,9.06,9.06,9.06,20.551,19.469,18.942999999999998,19.303,19.794
42,9016492,Macun, China,2021-03-01,Dongguan, China,2021-03-14,0,0,0,0,1,1,0,0,0,0,0,0,15.885,16.077,15.841,16.625,16.532,2.7,2.66,2.94,4.96,23.86,9.06,9.06,9.06,9.06,9.06,16.05,15.722000000000001,16.258,16.552,16.554000000000002
43,9016492,Dongguan, China,2021-03-14,Macun, China,2021-03-25,0,0,0,0,1,1,0,0,0,0,0,0,18.352999999999998,17.709,16.601,16.235,16.322,2.58,2.7,2.67,2.72,2.87,9.06,9.06,9.06,9.06,9.06,17.910999999999998,18.137999999999998,16.155,16.368,15.89
44,9016492,Macun, China,2021-03-25,Macun, China,2021-04-05,0,0,0,0,1,1,0,0,0,0,0,0,18.662,17.737000000000002,18.347,18.564,18.352999999999998,2.52,2.55,2.53,2.5,2.65,9.06,9.06,9.06,9.06,9.06,18.363,18.008,17.262,17.66,18.454
45,9016492,Macun, China,2021-04-05,Yangpu Anch., China,2021-04-06,0,0,0,0,1,1,0,0,0,0,0,0,19.175,19.175,18.332,18.585,18.257,2.43,2.52,2.55,2.52,2.56,9.06,9.06,9.06,9.06,9.06,19.794,19.159000000000002,18.84,18.68,18.567999999999998
46,9016492,Yangpu Anch., China,2021-04-06,"Bintulu,Sarawak", Malaysia,2021-04-22,0,0,0,0,1,1,0,0,0,0,0,0,19.245,19.175,18.607,18.585,18.662,2.44,2.52,2.52,2.58,2.52,9.06,9.06,9.06,9.06,9.06,19.794,19.159000000000002,18.967,18.445,18.363
47,9018555,Incheon, Korea,2021-02-24,Anjeong, Korea,2021-03-14,0,0,0,0,1,1,0,0,0,0,0,0,16.009,16.625,16.743,17.671,18.016,2.8,3.16,8.56,11.32,6.12,9.06,9.06,9.06,9.06,9.06,16.352999999999998,15.972999999999999,17.355999999999998,16.567999999999998,17.599
48,9018555,Anjeong, Korea,2021-03-14,Anjeong, Korea,2021-03-31,0,0,0,0,1,1,0,0,0,0,0,0,18.352999999999998,17.709,16.601,16.235,16.322,2.58,2.7,2.67,2.72,2.87,9.06,9.06,9.06,9.06,9.06,17.910999999999998,18.137999999999998,16.155,16.368,15.89
49,9018555,Anjeong, Korea,2021-03-31,Oita, Japan,2021-04-19,0,0,0,0,1,1,0,0,0,0,0,0,18.607,18.585,18.662,17.737000000000002,18.347,2.52,2.58,2.52,2.55,2.53,9.06,9.06,9.06,9.06,9.06,18.967,18.445,18.363,18.008,17.262
50,9030802,"Bintulu,Sarawak", Malaysia,2021-02-27,Sakaide, Japan,2021-03-06,0,0,0,0,1,1,0,0,0,0,0,0,15.839,16.009,16.625,16.743,17.671,2.66,2.8,3.16,8.56,11.32,9.06,9.06,9.06,9.06,9.06,15.722000000000001,16.352999999999998,15.972999999999999,17.355999999999998,16.567999999999998
51,9030802,Sakaide, Japan,2021-03-06,Kitakyushu, Japan,2021-03-24,0,0,0,0,1,1,0,0,0,0,0,0,16.569000000000003,16.255,15.839,16.067999999999998,16.697,2.72,2.86,2.7,2.72,3.16,9.06,9.06,9.06,9.06,9.06,16.368,15.558,16.05,15.904000000000002,15.972999999999999
52,9030802,Kitakyushu, Japan,2021-03-24,Anegasaki, Japan,2021-04-13,0,0,0,0,1,1,0,0,0,0,0,0,18.257,17.664,18.061,18.42,17.97,2.56,2.55,2.45,2.58,2.65,9.06,9.06,9.06,9.06,9.06,18.567999999999998,18.008,17.749000000000002,17.910999999999998,18.454
53,9030814,Nagoya, Japan,2021-02-28,Boryeong, Korea,2021-03-16,0,0,0,0,1,1,0,0,0,0,0,0,15.839,16.067999999999998,16.697,16.884,16.783,2.7,2.72,3.16,4.96,11.32,9.06,9.06,9.06,9.06,9.06,16.05,15.904000000000002,15.972999999999999,16.552,16.688
54,9030814,Boryeong, Korea,2021-03-16,"Bintulu,Sarawak", Malaysia,2021-03-23,0,0,0,0,1,1,0,0,0,0,0,0,18.564,18.352999999999998,17.102999999999998,16.569000000000003,15.915,2.5,2.65,2.62,2.67,2.79,9.06,9.06,9.06,9.06,9.06,17.66,18.454,17.561,16.155,15.981
55,9030814,"Bintulu,Sarawak", Malaysia,2021-03-23,Mab Tapud, Thailand,2021-03-26,0,0,0,0,1,1,0,0,0,0,0,0,18.137,17.664,17.803,18.352999999999998,17.709,2.56,2.53,2.6,2.58,2.7,9.06,9.06,9.06,9.06,9.06,18.38,17.262,17.999000000000002,17.910999999999998,18.137999999999998
56,9030814,Mab Tapud, Thailand,2021-03-26,Hongqiao, China,2021-04-16,0,0,0,0,1,1,0,0,0,0,0,0,18.494,18.137,17.664,17.803,18.352999999999998,2.52,2.56,2.53,2.6,2.58,9.06,9.06,9.06,9.06,9.06,18.68,18.38,17.262,17.999000000000002,17.910999999999998
57,9030826,"Bintulu,Sarawak", Malaysia,2021-02-13,Yokohama, Japan,2021-02-21,0,0,0,0,1,1,0,0,0,0,0,0,17.664,19.791,18.787,17.674,18.394000000000002,6.12,3.76,3.4,2.99,2.88,9.06,9.06,9.06,9.06,9.06,17.599,18.581,20.157,20.157,20.157
58,9030826,Yokohama, Japan,2021-02-21,Yokkaichi, Japan,2021-03-07,0,0,0,0,1,1,0,0,0,0,0,0,16.625,16.743,17.671,18.016,20.853,3.16,8.56,11.32,6.12,3.35,9.06,9.06,9.06,9.06,9.06,15.972999999999999,17.355999999999998,16.567999999999998,17.599,19.109
59,9030826,Yokkaichi, Japan,2021-03-07,Nagoya, Japan,2021-04-03,0,0,0,0,1,1,0,0,0,0,0,0,16.569000000000003,15.915,15.885,16.077,15.841,2.67,2.79,2.7,2.66,2.94,9.06,9.06,9.06,9.06,9.06,16.155,15.981,16.05,15.722000000000001,16.258
60,9030826,Nagoya, Japan,2021-04-03,"Bintulu,Sarawak", Malaysia,2021-04-18,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.607,18.585,18.662,17.737000000000002,2.52,2.52,2.58,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.159000000000002,18.967,18.445,18.363,18.008
61,9030838,Nagoya Anch., Japan,2021-02-26,Nagoya, Japan,2021-02-27,0,0,0,0,1,1,0,0,0,0,0,0,16.077,15.841,16.625,16.532,17.664,2.66,2.94,4.96,23.86,6.12,9.06,9.06,9.06,9.06,9.06,15.722000000000001,16.258,16.552,16.554000000000002,16.567999999999998
62,9030838,Nagoya, Japan,2021-02-27,Anjeong, Korea,2021-03-18,0,0,0,0,1,1,0,0,0,0,0,0,15.839,16.009,16.625,16.743,17.671,2.66,2.8,3.16,8.56,11.32,9.06,9.06,9.06,9.06,9.06,15.722000000000001,16.352999999999998,15.972999999999999,17.355999999999998,16.567999999999998
63,9030838,Anjeong, Korea,2021-03-18,Okpo Anch., Korea,2021-03-19,0,0,0,0,1,1,0,0,0,0,0,0,18.061,18.42,17.97,16.729,16.569000000000003,2.45,2.58,2.65,2.62,2.72,9.06,9.06,9.06,9.06,9.06,17.749000000000002,17.910999999999998,18.454,16.925,16.368
64,9030838,Okpo Anch., Korea,2021-03-19,Incheon, Korea,2021-04-02,0,0,0,0,1,1,0,0,0,0,0,0,18.347,18.564,18.352999999999998,17.102999999999998,16.569000000000003,2.53,2.5,2.65,2.62,2.67,9.06,9.06,9.06,9.06,9.06,17.262,17.66,18.454,17.561,16.155
65,9030838,Incheon, Korea,2021-04-02,Yokkaichi, Japan,2021-04-21,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.332,18.585,18.257,17.664,2.52,2.55,2.52,2.56,2.55,9.06,9.06,9.06,9.06,9.06,19.159000000000002,18.84,18.68,18.567999999999998,18.008
66,9035852,Al Fujayrah Anch., United Arab Emirates (UAE),2021-03-17,Das Island Anch., United Arab Emirates (UAE),2021-03-21,0,0,0,0,1,1,0,0,0,0,0,0,17.803,18.352999999999998,17.709,16.601,16.235,2.6,2.58,2.7,2.67,2.72,9.06,9.06,9.06,9.06,9.06,17.999000000000002,17.910999999999998,18.137999999999998,16.155,16.368
67,9035852,Das Island Anch., United Arab Emirates (UAE),2021-03-21,Das Island, United Arab Emirates (UAE),2021-03-22,0,0,0,0,1,1,0,0,0,0,0,0,17.664,18.061,18.42,17.97,16.729,2.55,2.45,2.58,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.749000000000002,17.910999999999998,18.454,16.925
68,9035852,Das Island, United Arab Emirates (UAE),2021-03-22,Dahej, India,2021-04-01,0,0,0,0,1,1,0,0,0,0,0,0,17.737000000000002,18.347,18.564,18.352999999999998,17.102999999999998,2.55,2.53,2.5,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.262,17.66,18.454,17.561
69,9035852,Dahej, India,2021-04-01,Al Fujayrah Anch., United Arab Emirates (UAE),2021-04-06,0,0,0,0,1,1,0,0,0,0,0,0,19.065,18.628,18.494,18.137,17.664,2.52,2.58,2.52,2.56,2.53,9.06,9.06,9.06,9.06,9.06,19.159000000000002,18.445,18.68,18.38,17.262
70,9035864,Shenzhen, China,2021-03-04,"Pasir Gudang,Johor Anch.", Malaysia,2021-03-21,0,0,0,0,1,1,0,0,0,0,0,0,15.915,15.885,16.077,15.841,16.625,2.79,2.7,2.66,2.94,4.96,9.06,9.06,9.06,9.06,9.06,15.981,16.05,15.722000000000001,16.258,16.552
71,9035864,"Pasir Gudang,Johor Anch.", Malaysia,2021-03-21,Al Fujayrah Anch., United Arab Emirates (UAE),2021-04-02,0,0,0,0,1,1,0,0,0,0,0,0,17.664,18.061,18.42,17.97,16.729,2.55,2.45,2.58,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.749000000000002,17.910999999999998,18.454,16.925
72,9035864,Al Fujayrah Anch., United Arab Emirates (UAE),2021-04-02,Das Island Anch., United Arab Emirates (UAE),2021-04-09,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.332,18.585,18.257,17.664,2.52,2.55,2.52,2.56,2.55,9.06,9.06,9.06,9.06,9.06,19.159000000000002,18.84,18.68,18.567999999999998,18.008
73,9035864,Das Island Anch., United Arab Emirates (UAE),2021-04-09,Das Island, United Arab Emirates (UAE),2021-04-11,0,0,0,0,1,1,0,0,0,0,0,0,19.75,19.245,19.175,18.607,18.585,2.48,2.44,2.52,2.52,2.58,9.06,9.06,9.06,9.06,9.06,18.942999999999998,19.794,19.159000000000002,18.967,18.445
74,9035864,Das Island, United Arab Emirates (UAE),2021-04-11,Al Fujayrah Anch., United Arab Emirates (UAE),2021-04-15,0,0,0,0,1,1,0,0,0,0,0,0,19.312,20.074,19.175,19.175,18.332,2.5,2.47,2.43,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.651,19.03,19.794,19.159000000000002,18.84
75,9038440,Kalba Anch., United Arab Emirates (UAE),2021-03-15,Al Fujayrah Anch., United Arab Emirates (UAE),2021-03-16,0,0,0,0,1,1,0,0,0,0,0,0,18.42,17.97,16.729,16.569000000000003,16.255,2.58,2.65,2.62,2.72,2.86,9.06,9.06,9.06,9.06,9.06,17.910999999999998,18.454,16.925,16.368,15.558
76,9038440,Al Fujayrah Anch., United Arab Emirates (UAE),2021-03-16,Das Island Anch., United Arab Emirates (UAE),2021-03-31,0,0,0,0,1,1,0,0,0,0,0,0,18.564,18.352999999999998,17.102999999999998,16.569000000000003,15.915,2.5,2.65,2.62,2.67,2.79,9.06,9.06,9.06,9.06,9.06,17.66,18.454,17.561,16.155,15.981
77,9038440,Das Island Anch., United Arab Emirates (UAE),2021-03-31,Das Island, United Arab Emirates (UAE),2021-04-09,0,0,0,0,1,1,0,0,0,0,0,0,18.607,18.585,18.662,17.737000000000002,18.347,2.52,2.58,2.52,2.55,2.53,9.06,9.06,9.06,9.06,9.06,18.967,18.445,18.363,18.008,17.262
78,9038440,Das Island, United Arab Emirates (UAE),2021-04-09,Al Fujayrah Anch., United Arab Emirates (UAE),2021-04-12,0,0,0,0,1,1,0,0,0,0,0,0,19.75,19.245,19.175,18.607,18.585,2.48,2.44,2.52,2.52,2.58,9.06,9.06,9.06,9.06,9.06,18.942999999999998,19.794,19.159000000000002,18.967,18.445
79,9038452,Das Island, United Arab Emirates (UAE),2021-02-12,Kawasaki, Japan,2021-03-03,0,0,0,0,1,1,0,0,0,0,0,0,18.016,20.853,18.787,18.347,18.394000000000002,6.12,3.35,3.49,3.01,2.88,9.06,9.06,9.06,9.06,9.06,17.599,19.109,20.157,20.157,20.157
80,9038452,Kawasaki, Japan,2021-03-03,Shenzhen, China,2021-03-11,0,0,0,0,1,1,0,0,0,0,0,0,16.255,15.839,16.067999999999998,16.697,16.884,2.86,2.7,2.72,3.16,4.96,9.06,9.06,9.06,9.06,9.06,15.558,16.05,15.904000000000002,15.972999999999999,16.552
81,9038816,Gladstone, Australia,2021-02-13,Incheon, Korea,2021-02-27,0,0,0,0,0,1,1,0,0,0,0,0,17.664,19.791,18.787,17.674,18.394000000000002,6.12,3.76,3.4,2.99,2.88,9.06,9.06,9.06,9.06,9.06,17.599,18.581,20.157,20.157,20.157
