Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
LNG JUPITER,9341689,311019200,Bahamas,290,49,121675,81950,AU BWB,BarrowIsland,2021-04-13-00:01,10.1,5.83792 S/106.94002 E,3.3°,11.3 kn,-,2021-03-30,2021-03-29-03:13
ARCTIC PRINCESS,9271248,257739000,Norway,288,49,121597,84878,EGSCN,SuezCanal,2021-03-31-15:00,10.0,23.39952 N/37.11315 E,330.5°,13.9 kn,Under way,2021-03-30,2021-03-30-00:57
ARCTIC LADY,9284192,257742000,Norway,288,49,121597,84878,"PORT SAID,EGYPT",PortSaid,2021-03-28-15:00,11.1,31.46473 N/32.47255 E,30.4°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:42
LNG BARKA,9341299,308579000,Bahamas,290,49,121514,82308,AU BWB,BarrowIsland,2021-03-31-10:00,9.6,17.49293 S/118.47258 E,217.8°,13.8 kn,Under way,2021-03-30,2021-03-30-11:18
ENERGY CONFIDENCE,9405588,432694000,Japan,290,49,121413,75891,JP YOK OHG,JP YOK OHG,2021-04-01-22:30,11.7,16.89293 S/118.82993 E,30.9°,16.5 kn,-,2021-03-30,2021-03-23-21:56
GASLOG WARSAW,9816763,241662000,Greece,297,47,120859,92996,ATLANTIC BASIN,ATLANTIC BASIN,2021-03-26-15:00,10.7,26.24875 N/79.31248 W,71.4°,16.2 kn,-,2021-03-30,2021-03-26-00:43
GASLOG WINDSOR,9819650,310787000,Bermuda,297,47,120709,98000,BRAZIL,BRAZIL,2021-04-07-09:00,11.1,29.07041 N/93.61924 W,149.1°,14.7 kn,-,2021-03-30,2021-03-23-03:35
GRAND MEREYA,9338929,209856000,Cyprus,290,49,120525,74497,RU PGN,Prigorodnoye,2021-03-31-00:00,9.7,31.3589 N/127.87286 E,355.3°,7.8 kn,-,2021-03-30,2021-03-17-05:25
GAIL BHUWAN,9877145,209997000,Cyprus,-,-,119891,98300,IN DAH,Dahej,2021-04-22-00:01,11.6,36.85606 N/75.8633 W,120.3°,10.0 kn,-,2021-03-30,2021-03-25-08:28
LNG SCHNEEWEISSCHEN,9771913,357315000,Panama,298,48,119660,98747,USHOU,Houston,2021-04-10-00:01,9.4,36.81894 N/12.74241 W,197.5°,19.5 kn,-,2021-03-30,2021-03-28-05:49
ENERGY FRONTIER,9245720,432420000,Japan,290,49,119393,73795,RU PGN,Prigorodnoye,2021-04-03-23:00,9.7,36.10196 N/140.932 E,348.6°,9.4 kn,-,2021-03-30,2021-03-22-19:46
ENERGY ADVANCE,9269180,432495000,Japan,290,49,119233,73739,AU DRW,Darwin,2021-04-08-20:30,9.6,33.80569 N/139.16058 E,196.9°,13.6 kn,Under way,2021-03-30,2021-03-30-10:11
LNG DREAM,9277620,309065000,Bahamas,290,49,118876,80889,AU DAM,Dampier,2021-04-09-23:00,9.8,33.78129 N/134.87552 E,183.7°,13.6 kn,-,2021-03-30,2021-03-27-11:48
ENERGY NAVIGATOR,9355264,432634000,Japan,290,49,118842,73640,RU PGN,Prigorodnoye,2021-03-29-05:00,9.7,35.76639 N/141.32338 E,4.0°,14.6 kn,-,2021-03-30,2021-03-19-05:54
TAITAR NO. 4,9403657,351767000,Panama,290,49,118634,77053,QA RLF>TW TXG,Taichung,2021-04-06-22:00,11.3,24.6611 N/57.84233 E,120.9°,20.1 kn,-,2021-03-30,2021-03-26-05:06
TAITAR NO. 1,9403669,371846000,Panama,290,49,118634,77089,TAI CHUNG,Taichung,2021-04-02-22:00,11.2,1.4105 N/104.47516 E,54.0°,17.2 kn,-,2021-03-30,2021-03-29-07:22
TAITAR NO. 3,9403671,372195000,Panama,290,49,118634,77089,RAS LAFFAN,RasLaffan,2021-04-07-21:01,9.9,3.69769 N/100.12377 E,311.0°,17.5 kn,-,2021-03-30,2021-03-29-23:19
TAITAR NO. 2,9403645,372307000,Panama,290,49,118634,77089,"SOHAR,OMAN",Sohar,2021-03-31-03:00,10.4,3.59798 N/100.11045 E,307.0°,18.4 kn,-,2021-03-30,2021-03-23-19:47
IBRI LNG,9317315,355580000,Panama,290,49,118608,77282,EG SUZ,AsSuways/SuezPort,2021-04-07-18:00,10.0,2.91041 N/100.93013 E,342.7°,14.8 kn,-,2021-03-30,2021-03-16-12:42
ARCTIC VOYAGER,9275335,309998000,Bahamas,290,49,118571,75485,ESBIO,Bilbao,2021-04-22-06:00,10.8,26.64651 N/89.77083 W,121.4°,11.7 kn,Under way,2021-03-30,2021-03-30-08:30
ARCTIC DISCOVERER,9276389,309481000,Bahamas,290,49,118571,75485,ESFRO,Ferrol,2021-03-31-00:00,9.4,43.84111 N/9.1492 W,168.7°,7.6 kn,Under way,2021-03-30,2021-03-30-11:50
LALLA FATMA N'SOUMER,9275347,311775000,Bahamas,290,49,118363,80920,ARZEW ALGERIA,Arzew,2021-04-04-07:00,10.0,40.99108 N/27.98628 E,283.1°,0.1 kn,-,2021-03-30,2021-03-29-12:30
ELISA LARUS,9852975,228385600,France,297,46,118286,82244,US FPO,Freeport,2021-04-07-06:00,9.7,47.9254 N/12.18324 W,243.0°,15.9 kn,-,2021-03-30,2021-03-22-04:23
FUJI LNG,9275359,229443000,Malta,290,49,118219,77351,-,-,-,10.1,25.56064 N/93.34475 W,354.2°,0.8 kn,-,2021-03-30,2021-03-28-08:51
SYMPHONIC BREEZE,9330745,309839000,Bahamas,290,49,117895,77163,NIPAH,NIPAH,2021-03-15-06:00,10.0,1.11214 N/103.61732 E,253.8°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:50
DIAMOND GAS METROPOLIS,9862487,311000968,Bahamas,297,46,117564,81950,PA BLB,Balboa,2021-04-02-17:00,9.7,33.8405 N/134.88488 E,189.9°,15.7 kn,-,2021-03-30,2021-03-09-07:19
YAMAL SPIRIT,9781920,311000666,Bahamas,294,48,117162,91610,SUEZ,AsSuways/SuezPort,2021-03-25-19:00,9.2,30.41095 N/32.36355 E,350.0°,9.7 kn,-,2021-03-30,2021-03-30-11:42
