Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
LNG RIVERS,9216298,310370000,Bermuda,289,48,114354,79885,IN HZR,Hazira,2021-04-14-00:00,11.2,34.76451 S/17.49334 E,129.4°,18.1 kn,-,2021-03-31,2021-03-30-05:06
LNG BAYELSA,9241267,310381000,Bermuda,289,48,114354,79822,WEST AFRICA,WEST AFRICA,2021-04-14-08:00,10.4,33.98476 S/18.10214 E,57.1°,10.5 kn,Under way,2021-03-31,2021-03-31-07:30
GIGIRA LAITEBO,9360922,309415000,Bahamas,298,46,114277,87194,PORT MORESBY,PortMoresby,2021-04-07-05:00,9.7,22.13877 N/119.89363 E,183.0°,19.8 kn,-,2021-03-31,2021-03-27-02:50
SPIRIT OF HELA,9361639,311013700,Bahamas,298,46,114277,87130,CN QDG,Qingdao,2021-04-08-21:00,11.9,1.4132 N/104.49242 E,52.0°,17.2 kn,-,2021-03-31,2021-03-09-15:36
ENERGY ENDEAVOUR,9854624,538008879,Marshall Islands,295,46,114195,93500,FOR ORDERS,FOR ORDERS,2021-04-19-00:01,11.6,8.3813 N/79.44797 W,180.1°,17.9 kn,-,2021-03-31,2021-03-28-00:50
ENERGY PACIFIC,9854612,538008878,Marshall Islands,295,46,114195,95000,FOR ORDERS,FOR ORDERS,2021-03-13-00:25,9.8,34.67565 S/18.15875 E,306.9°,15.7 kn,Under way,2021-03-31,2021-03-31-07:30
PAPUA,9613135,477518900,Hong Kong,290,47,114166,96319,KR YOS>CN TAO,Qingdao,2021-04-01-22:00,11.6,34.53249 N/122.64172 E,131.0°,19.9 kn,-,2021-03-31,2021-03-10-11:37
MARVEL KITE,9760782,563069500,Singapore,293,46,114084,89266,...,...,2021-04-15-16:00,11.6,31.51205 N/124.7162 W,305.5°,15.4 kn,-,2021-03-31,2021-03-30-05:52
MARVEL HAWK,9760770,563063200,Singapore,293,46,114084,89432,-,-,2021-04-07-06:00,9.3,34.7857 S/22.14566 E,262.1°,10.5 kn,-,2021-03-31,2021-03-10-03:46
MARVEL FALCON,9760768,563048500,Singapore,293,46,114084,89431,US_LCH,LakeCharles,2021-03-30-11:00,8.9,30.03759 N/93.33337 W,268.8°,0.0 kn,Moored,2021-03-31,2021-03-31-07:28
MINERVA KALYMNOS,9869942,215890000,Malta,-,-,115635,89000,AU BWB,BarrowIsland,2021-04-07-16:01,9.2,30.81626 N/125.49214 E,179.1°,19.1 kn,Under way,2021-03-31,2021-03-30-23:34
HYUNDAI TECHNOPIA,9155145,441231000,Korea,289,48,113998,77584,QARLF=>KRPTK,Pyeongtaek,2021-04-11-04:30,11.4,24.46659 N/58.67789 E,107.3°,18.0 kn,-,2021-03-31,2021-03-29-06:01
HYUNDAI COSMOPIA,9155157,441260000,Korea,289,48,113998,77591,KRINC,Incheon,2021-04-05-02:00,11.4,1.38866 N/104.45796 E,57.0°,18.4 kn,-,2021-03-31,2021-03-29-10:55
PSKOV,9630028,636016229,Liberia,300,46,113876,93152,ATLANTIC OCEAN FO,ATLANTIC OCEAN FO,2021-04-07-23:00,9.4,33.9333 S/18.13494 E,55.8°,4.6 kn,Under way,2021-03-31,2021-03-31-07:30
SCF MITRE,9654880,636016378,Liberia,300,46,113876,93585,FOR ORDERS,FOR ORDERS,2021-03-31-21:00,11.4,32.65452 S/71.77359 W,334.7°,11.4 kn,-,2021-03-31,2021-02-28-19:48
SCF MELAMPUS,9654878,636016376,Liberia,300,46,113876,93508,SODEGAURA / JPCHB,SODEGAURA / JPCHB,2021-03-30-06:00,10.9,35.47287 N/139.96539 E,145.5°,0.0 kn,Moored,2021-03-31,2021-03-31-07:28
VELIKIY NOVGOROD,9630004,636016219,Liberia,300,46,113876,93486,INDIAN OC. FOR ORDER,INDIAN OC. FOR ORDER,2021-04-13-21:01,11.5,33.80217 S/17.88227 E,274.2°,16.1 kn,-,2021-03-31,2021-03-01-12:55
GLOBAL ENERGY,9845013,538008899,Marshall Islands,295,46,113822,96000,TBC,TBC,2021-03-31-00:01,11.5,41.34276 N/2.1625 E,165.6°,0.1 kn,Under way,2021-03-31,2021-03-31-06:28
GLOBAL STAR,9859741,538009028,Marshall Islands,295,46,113822,95000,"GLADSTONE,AU","GLADSTONE,AU",2021-04-05-22:00,9.5,29.43798 N/123.12228 E,118.5°,15.8 kn,-,2021-03-31,2021-03-24-11:39
MINERVA PSARA,9854363,215865000,Malta,295,46,113817,93500,FOR ORDERS,FOR ORDERS,2021-04-07-12:00,11.4,9.50479 N/79.94565 W,128.5°,0.3 kn,At anchor,2021-03-31,2021-03-31-07:30
MARAN GAS ANDROS,9810379,241670000,Greece,295,46,113793,96000,FOR ORDERS,FOR ORDERS,2021-04-27-21:00,11.2,8.37567 N/26.44251 W,134.1°,17.4 kn,-,2021-03-31,2021-03-30-06:27
MARAN GAS SPETSES,9767950,241579000,Greece,295,46,113763,94945,SINGAPORE,Singapore,2021-04-01-14:00,11.4,20.76203 S/115.67933 E,53.8°,14.6 kn,-,2021-03-31,2021-03-28-01:23
MARAN GAS CHIOS,9753014,241636000,Greece,295,46,113763,94945,FOR ORDERS,FOR ORDERS,2021-04-06-10:00,9.9,50.35273 N/10.87939 W,252.1°,16.2 kn,-,2021-03-31,2021-03-24-20:06
WOODSIDE CHANEY,9753026,241637000,Greece,295,46,113763,95000,JP NIH,JP NIH,2021-04-01-00:00,11.6,18.32488 S/117.9826 E,30.6°,19.8 kn,-,2021-03-31,2021-03-23-08:01
MARIA ENERGY,9659725,636017445,Liberia,290,46,113664,93301,SETUBAL,Setubal,2021-04-01-00:00,9.0,35.98577 N/9.47088 W,145.2°,6.4 kn,Under way,2021-03-31,2021-03-31-07:28
MARAN GAS ACHILLES,9682588,241365000,Greece,290,46,113502,92713,FOR ORDERS,FOR ORDERS,2021-04-07-00:30,11.7,34.50499 S/25.9308 E,75.3°,13.7 kn,-,2021-03-31,2021-03-27-16:22
MARAN GAS LETO,9682576,241355000,Greece,290,46,113502,81739,SINGAPORE,Singapore,2021-03-23-08:00,6.0,1.29946 N/103.65224 E,320.4°,0.0 kn,Moored,2021-03-31,2021-03-31-01:32
MARAN GAS ULYSSES,9709491,241404000,Greece,290,46,113502,92621,FOR ORDERS,FOR ORDERS,2021-04-10-04:00,11.5,10.90897 N/61.60275 W,43.5°,15.4 kn,-,2021-03-31,2021-03-29-19:30
MARAN GAS PERICLES,9709489,241424000,Greece,290,46,113502,92776,FOR ORDERS,FOR ORDERS,2021-04-05-23:01,11.1,22.35253 S/153.00823 E,15.0°,18.4 kn,-,2021-03-31,2021-03-26-19:08
MARAN GAS AGAMEMNON,9682590,241405000,Greece,290,46,113502,92762,"GLADSTONE,AUSTRALIA",Gladstone,2021-04-02-06:00,9.0,34.38924 N/137.09822 E,167.3°,14.8 kn,-,2021-03-31,2021-03-17-04:38
FLEX COURAGEOUS,9825439,538008206,Marshall Islands,295,46,113428,95618,FOR ORDERS,FOR ORDERS,2021-03-01-12:00,9.9,9.38873 N/79.96167 W,296.4°,0.1 kn,At anchor,2021-03-31,2021-03-31-07:30
CESI LIANYUNGANG,9672818,477151600,Hong Kong,290,46,113397,95713,SHENZHEN CN,SHENZHEN CN,2021-04-08-23:00,11.3,23.20346 S/151.66811 E,59.5°,15.3 kn,-,2021-03-31,2021-03-30-12:28
CESI GLADSTONE,9672820,477348600,Hong Kong,290,46,113397,95638,"GLD,AUS","GLD,AUS",2021-04-03-17:30,9.2,22.44081 N/116.63343 E,115.7°,15.8 kn,-,2021-03-31,2021-03-22-09:43
CESI QINGDAO,9672832,477584200,Hong Kong,290,46,113397,95641,GLADSTONE.AUS,Gladstone,2021-03-31-14:00,9.4,38.35168 N/121.95494 E,99.7°,18.3 kn,-,2021-03-31,2021-03-20-15:30
CESI WENZHOU,9694751,477121700,Hong Kong,290,46,113397,95530,BHY CN,BHY CN,2021-03-30-23:00,11.3,21.44811 N/109.53606 E,180.6°,0.0 kn,Moored,2021-03-31,2021-03-31-07:30
