Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
GASLOG SANTIAGO,9600530,310652000,Bermuda,285,43,98451,82178,"Freeport, United States (USA)",2021-05-03-18:38,FOR ORDERS,,2021-05-17-09:00,11.3,,109.0°,16.9 kn,-,2021-05-09,2021-05-07-10:07
GASLOG SYDNEY,9626273,310657000,Bermuda,285,43,98451,82010,"Withnell Bay, Australia",2021-04-26-08:07,AU>WNB,,2021-05-11-22:00,9.3,,181.6°,16.9 kn,-,2021-05-09,2021-05-04-07:18
GASLOG SEATTLE,9634086,310669000,Bermuda,285,43,98075,81982,"Caofeidian, China",2021-05-01-03:27,INDIAN BASIN,,2021-06-06-01:00,9.4,,199.1°,12.3 kn,-,2021-05-09,2021-05-05-10:14
GASLOG SHANGHAI,9600528,310644000,Bermuda,285,43,98075,82104,"Al Fujayrah Anch., United Arab Emirates (UAE)",2021-04-24-13:35,S. ATLANTIC OCEAN,,2021-05-16-06:00,9.8,,243.0°,20.6 kn,-,2021-05-09,2021-05-05-06:27
GASLOG SARATOGA,9638903,310696000,Bermuda,285,45,98075,81855,"Adriatic LNG LNG Term., Italy",2021-04-22-12:25,ATLANTIC OCEAN,,2021-05-10-19:00,9.8,,286.7°,14.2 kn,Under way,2021-05-09,2021-05-09-08:27
GASLOG SALEM,9638915,310699000,Bermuda,285,43,98075,82023,"Sabine, United States (USA)",2021-04-21-14:24,FOR ORDERS,,2021-05-29-00:01,11.3,,111.6°,20.3 kn,-,2021-05-09,2021-04-23-08:03
SHEN HAI,9583677,477413600,Hong Kong,290,43,98068,82625,"Singapore Anch. 1, Singapore",2021-05-02-01:16,MY BTU>CN YANGSHAN,,2021-05-13-02:00,11.9,,52.0°,14.4 kn,-,2021-05-09,2021-05-02-08:08
TANGGUH JAYA,9349019,370502000,Panama,285,43,97897,82313,"Gladstone Anch., Australia",2021-04-15-09:59,CN QIDONG,,2021-04-28-03:15,11.0,,296.1°,7.6 kn,-,2021-05-09,2021-05-01-06:43
TANGGUH PALUNG,9355379,370766000,Panama,285,43,97897,82407,"Tangguh, Indonesia",2021-04-26-03:15,ID NTI,,2021-06-03-01:00,8.9,,122.9°,9.9 kn,-,2021-05-09,2021-04-09-13:09
LNG BORNO,9322803,310543000,Bermuda,285,43,97874,82030,"Mundra, India",2021-04-06-10:10,"WALVIS BAY,OPL",,2021-04-25-06:00,9.2,,326.1°,0.2 kn,At anchor,2021-05-09,2021-05-09-08:50
LNG OGUN,9322815,310542000,Bermuda,285,43,97874,81997,"Bonny, Nigeria",2021-04-28-08:34,FOS CAVAOU FRANCE,,2021-05-12-03:00,11.4,,89.6°,14.7 kn,Under way,2021-05-09,2021-05-09-00:03
DAPENG SUN,9308479,477985700,Hong Kong,292,43,97871,83050,"Withnell Bay, Australia",2021-05-09-08:03,"Dapeng, China",,2021-05-16-02:00,11.4,,325.8°,10.3 kn,Under way,2021-05-09,2021-05-09-08:55
DAPENG STAR,9369473,477614400,Hong Kong,292,43,97871,82428,"Withnell Bay, Australia",2021-05-05-05:55,"Dapeng, China",,2021-05-12-02:00,11.6,,14.7°,15.8 kn,-,2021-05-09,2021-05-05-08:08
GASLOG SAVANNAH,9352860,310583000,Bermuda,285,43,97818,82291,"Dahej, India",2021-05-08-22:44,"As Suways / Suez Port, Egypt",,2021-05-16-11:00,9.5,,264.9°,19.4 kn,Under way,2021-05-09,2021-05-09-08:48
GASLOG SINGAPORE,9355604,310594000,Bermuda,285,43,97818,82339,"Singapore Anch. 5, Singapore",2021-04-20-06:43,"Singapore, Singapore",,2021-04-20-09:35,9.0,,0.0°,0.0 kn,Moored,2021-05-09,2021-05-09-06:48
STENA BLUE SKY,9315393,235116537,United Kingdom,285,43,97754,84362,"Singapore, Singapore",2021-05-06-04:25,PGBG,,2021-05-04-22:30,9.0,,45.0°,0.0 kn,-,2021-05-09,2021-05-09-08:46
LNG UNITY,9306495,228337700,France,290,43,97741,86385,"Lake Charles, United States (USA)",2021-04-27-09:08,"Cameron, United States (USA)",,2021-04-27-11:06,9.4,,283.5°,15.5 kn,-,2021-05-09,2021-05-07-05:35
LNG ALLIANCE,9320075,228333700,France,290,43,97741,86385,"Lake Charles, United States (USA)",2021-04-18-10:49,MEIJILLONES,,2021-05-15-06:00,11.3,,131.0°,16.7 kn,-,2021-05-09,2021-04-20-00:25
LNG OYO,9267003,310487000,Bermuda,285,43,97561,83068,"Bonny, Nigeria",2021-05-01-11:46,"Huelva, Spain",,2021-05-13-01:00,11.3,,44.0°,11.9 kn,Under way,2021-05-09,2021-05-09-07:28
LNG RIVER ORASHI,9266982,310447000,Bermuda,285,43,97561,83068,"Bonny, Nigeria",2021-05-04-11:56,"Sines, Portugal",,2021-05-13-11:00,11.5,,358.5°,17.7 kn,Under way,2021-05-09,2021-05-09-08:55
LNG BENUE,9267015,310495000,Bermuda,285,43,97561,82971,"Singapore Anch. 1, Singapore",2021-04-26-17:11,"Bonny, Nigeria",,2021-06-07-19:00,8.5,,237.6°,17.9 kn,-,2021-05-09,2021-05-04-04:01
LNG ENUGU,9266994,310482000,Bermuda,285,43,97561,83160,"Santa Cruz de Tenerife Anch., Spain",2021-04-30-13:51,I,,2021-05-22-21:00,9.2,,177.0°,6.7 kn,Under way,2021-05-09,2021-05-09-06:10
MARAN GAS ASCLEPIUS,9302499,240386000,Greece,285,43,97496,84659,"Ras Laffan Anch., Qatar",2021-05-08-14:22,"Ras Laffan, Qatar",,2021-05-08-15:44,9.1,,47.0°,0.1 kn,Moored,2021-05-09,2021-05-09-04:32
UMM BAB,9308431,240411000,Greece,285,43,97496,84659,"Zeebrugge, Belgium",2021-05-08-12:07,FOR ORDERS,,2021-05-16-18:00,10.0,,243.0°,15.8 kn,Under way,2021-05-09,2021-05-09-08:52
SIMAISMA,9320386,240486000,Greece,285,43,97496,84863,"Ras Laffan, Qatar",2021-05-06-03:53,FOR ORDERS,,2021-05-06-01:00,8.7,,267.0°,0.2 kn,-,2021-05-09,2021-05-07-05:32
