Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
LA SEINE,9845764,215503000,Malta,299,46,116542,93200,"Marmara Ereglisi, Turkey",2021-05-28-12:27,FREEPORT USA,,2021-06-17-06:00,9.5,,270.0°,15.7 kn,Under way,2021-06-04,2021-06-03-23:18
FLEX AURORA,9857365,538008764,Marshall Islands,297,46,116430,83000,"Ingleside, United States (USA)",2021-06-03-12:57,"Dahej, India",,2021-07-03-02:30,10.9,,118.0°,17.5 kn,-,2021-06-04,2021-06-03-16:31
COOL DISCOVERER,9861031,215567000,Malta,299,46,116354,92800,"Ingleside, United States (USA)",2021-06-03-06:54,USA FOR ORDER,,2021-06-03-06:00,9.3,,290.9°,0.0 kn,Moored,2021-06-04,2021-06-04-06:51
LA MANCHA KNUTSEN,9721724,224444000,Spain,284,46,116246,92802,"Xiuyu, China",2021-05-19-04:00,AD DXB,,2021-06-07-03:00,9.5,,295.1°,10.7 kn,-,2021-06-04,2021-06-02-20:49
RIOJA KNUTSEN,9721736,224451000,Spain,290,46,116246,92782,"Ingleside, United States (USA)",2021-05-20-07:10,"Mejillones, Chile",,2021-06-12-15:00,11.7,,232.3°,18.9 kn,-,2021-06-04,2021-06-02-22:55
LNG LAGOS II,9692014,310721000,Bermuda,300,46,115995,99025,"Dubai / Port Rashid, United Arab Emirates (UAE)",2021-05-15-12:17,Destination not available,,-,11.6,,192.0°,0.0 kn,Moored,2021-06-04,2021-06-04-06:14
LNG BONNY II,9692002,310720000,Bermuda,300,46,115995,98954,"Escombreras, Spain",2021-05-13-19:48,BN NG,,2021-06-10-08:13,9.7,,179.8°,11.0 kn,Under way,2021-06-04,2021-06-03-22:01
LNG CROSS RIVER,9262223,310478000,Bermuda,288,48,115993,79591,"Montoir, France",2021-05-10-23:39,WEST AFFRICA,,2021-06-05-18:30,10.0,,141.7°,12.2 kn,-,2021-06-04,2021-05-29-17:12
LNG RIVER NIGER,9262235,310479000,Bermuda,288,48,115993,79541,"Sines, Portugal",2021-06-01-06:04,"Bonny, Nigeria",,2021-06-18-02:00,10.4,,200.0°,7.6 kn,Under way,2021-06-04,2021-06-03-22:51
LNG ADAMAWA,9262211,310469000,Bermuda,289,48,115993,79566,"Mundra Anch., India",2021-05-09-11:29,"Bonny, Nigeria",,2021-06-15-20:30,10.3,,306.2°,13.6 kn,-,2021-06-04,2021-05-28-13:44
LNG AKWA IBOM,9262209,310453000,Bermuda,289,48,115993,79633,"Fos sur mer, France",2021-06-02-08:25,"Santa Cruz de Tenerife, Spain",,2021-06-06-13:00,10.4,,251.5°,13.4 kn,Under way,2021-06-04,2021-06-04-07:08
SM EAGLE,9761827,370895000,Panama,295,46,115716,97975,"Okpo Anch., Korea",2021-06-03-00:45,"Balboa, Panama",,2021-06-28-01:00,9.8,,331.7°,8.1 kn,-,2021-06-04,2021-06-03-00:23
GASLOG GEORGETOWN,9864916,310800000,Bermuda,293,46,115636,89000,"Souma, Japan",2021-05-28-04:51,OPEN SEA FOR ORDERS,,2021-06-16-17:00,9.4,,183.9°,18.1 kn,-,2021-06-04,2021-05-28-18:24
HYUNDAI PEACEPIA,9761853,374816000,Panama,296,46,115541,98344,"Panama Canal Anch. Atlantic, Panama",2021-05-25-09:41,"Tongyeong, Korea",,2021-06-16-02:00,11.4,,179.6°,19.6 kn,-,2021-06-04,2021-05-25-23:30
BRITISH CONTRIBUTOR,9766554,232006298,Isle of Man,295,46,115366,94558,"Port Arthur Anch., United States (USA)",2021-06-03-19:09,BRAZIL,,2021-06-23-12:00,11.7,,178.0°,0.0 kn,-,2021-06-04,2021-06-04-07:03
BRITISH MENTOR,9766578,232006296,Isle of Man,295,46,115366,94528,"Panama Canal Anch. Pacific, Panama",2021-05-18-01:56,"Kisarazu, Japan",,2021-06-07-21:45,11.6,,178.4°,19.1 kn,-,2021-06-04,2021-05-18-03:11
BRITISH LISTENER,9766566,232006297,Isle of Man,295,46,115366,94494,"Ingleside, United States (USA)",2021-05-12-17:50,ARBDE,,2021-06-04-09:00,9.5,,260.8°,15.3 kn,Under way,2021-06-04,2021-06-04-07:08
BRITISH PARTNER,9766530,232006301,Isle of Man,295,46,115366,94442,"Freeport, United States (USA)",2021-05-15-14:33,"Singapore, Singapore",,2021-06-15-06:00,11.8,,111.3°,18.0 kn,-,2021-06-04,2021-06-02-04:34
