Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
CUBAL,9491812,311038400,Bahamas,285,43,100723,82834,SOYO,Soyo,2021-04-11-05:00,9.6,7.10917 S/10.86967 E,8.2°,13.0 kn,-,2021-04-07,2021-04-06-06:50
SOYO,9475208,311038500,Bahamas,285,43,100723,82858,FOR ORDER,FOR ORDER,2021-04-07-07:00,9.5,6.42333 S/104.78744 E,74.4°,18.9 kn,-,2021-04-07,2021-03-23-02:11
LOBITO,9490961,311038700,Bahamas,285,43,100723,82929,FOR ORDERS,FOR ORDERS,2021-04-24-00:01,11.8,6.94691 S/10.89362 E,54.9°,10.0 kn,-,2021-04-07,2021-04-04-17:41
HYUNDAI ECOPIA,9372999,370983000,Panama,288,44,100545,83959,"HOSAN, KOREA",Hosan,2021-04-07-01:00,11.4,34.80183 N/128.96337 E,90.0°,17.1 kn,-,2021-04-07,2021-03-30-04:50
GRACE COSMOS,9323675,311191000,Bahamas,288,44,100481,85224,SG EAST OPL,SG EAST OPL,2021-04-10-04:00,11.5,22.24652 N/114.56042 E,156.5°,13.8 kn,-,2021-04-07,2021-04-04-10:10
GASLOG CHELSEA,9390185,310670000,Bermuda,289,44,100374,86353,"DAHEJ, INDIA",Dahej,2021-04-18-00:01,11.3,26.80218 N/34.59598 E,154.6°,17.0 kn,Under way,2021-04-07,2021-04-06-19:35
GRACE ACACIA,9315707,308136000,Bahamas,288,44,100341,85214,CN QID   !AN  209,CN QID   !AN  209,2021-04-07-00:01,11.1,32.07111 N/121.77516 E,153.4°,0.1 kn,Under way,2021-04-07,2021-04-07-03:45
GRACE BARLERIA,9315719,431115000,Japan,288,44,100256,84812,JP KZU,Kisarazu,2021-04-06-22:05,11.1,35.34215 N/139.8232 E,100.1°,0.0 kn,Moored,2021-04-07,2021-04-07-05:42
NEO ENERGY,9324277,636013234,Liberia,288,44,100253,85602,PORT QASIM PAKISTAN,PortQasim,2021-04-11-01:00,11.1,26.19964 N/54.43399 E,96.9°,12.7 kn,Under way,2021-04-07,2021-04-07-06:23
OB RIVER,9315692,538002846,Marshall Islands,288,44,100244,84682,RU PGN,Prigorodnoye,2021-03-23-06:00,9.4,34.5559 N/137.00937 E,135.1°,12.3 kn,-,2021-04-07,2021-02-25-02:56
CLEAN ENERGY,9323687,538002742,Marshall Islands,288,44,100244,85513,ATLANTIC FOR ORDERS,ATLANTIC FOR ORDERS,2021-04-28-23:59,9.3,33.81067 S/18.15018 E,306.6°,13.3 kn,-,2021-04-07,2021-04-05-08:04
ARCTIC AURORA,9645970,229767000,Malta,288,44,100236,84604,LT KLJ,Klaipeda,2021-04-17-02:00,11.0,31.99945 N/80.78929 W,144.2°,10.0 kn,-,2021-04-07,2021-04-04-04:10
YENISEI RIVER,9629586,538005072,Marshall Islands,288,44,100236,84565,ZA_CPT-->US_NSS,ZA_CPT-->US_NSS,2021-04-23-05:01,9.4,33.83492 S/18.10762 E,290.3°,17.7 kn,-,2021-04-07,2021-04-05-08:50
LENA RIVER,9629598,538005073,Marshall Islands,288,44,100236,84585,DALIAN CHINA,Dalian,2021-04-07-16:00,11.5,1.41518 N/104.49263 E,67.0°,16.6 kn,-,2021-04-07,2021-04-01-11:48
K. MUGUNGWHA,9373010,370612000,Panama,288,43,99151,87442,KR PTK,Pyeongtaek,2021-04-07-02:00,11.3,36.99878 N/126.78242 E,221.0°,0.1 kn,Moored,2021-04-07,2021-04-07-06:39
AL AREESH,9325697,311038000,Bahamas,288,43,99106,90617,EG PSD,PortSaid,2021-04-08-20:00,9.3,35.10369 N/23.32759 E,133.9°,17.2 kn,Under way,2021-04-07,2021-04-07-06:39
AL MARROUNA,9325685,311468000,Bahamas,288,43,99106,90617,QA RLF,RasLaffan,2021-04-11-05:00,9.8,21.3113 N/91.74924 E,220.6°,13.7 kn,-,2021-04-07,2021-04-02-17:37
AL DAAYEN,9325702,311133000,Bahamas,288,43,99106,90617,FOR ORDERS,FOR ORDERS,2021-04-09-06:00,11.4,35.1057 N/23.08056 E,307.9°,17.0 kn,Under way,2021-04-07,2021-04-07-05:38
LNG LOKOJA,9269960,310519000,Bermuda,288,43,98798,83965,BONNY NIGERIA,Bonny,2021-04-01-12:00,9.4,20.96522 N/17.92998 W,15.4°,15.0 kn,Under way,2021-04-07,2021-04-07-06:33
LNG IMO,9311581,310565000,Bermuda,288,43,98798,83688,BONNY,Bonny,2021-04-25-07:00,9.6,6.65574 S/104.22093 E,242.4°,16.5 kn,-,2021-04-07,2021-04-05-09:21
